example_english,example_korean
The carp swims slowly in the pond.,잉어가 연못에서 천천히 헤엄치고 있어요.
The rabbit eats a crunchy carrot.,토끼가 아삭한 당근을 먹어요.
I carry my lunch box to school.,나는 내 도시락을 학교로 나르고 있어요.
This picture carries a lot of love.,이 그림은 많은 사랑을 표현해요.
The shop carries toys and candies.,가게에서 장난감과 사탕을 팔고 있어요.
I carry my bag to school.,나는 가방을 학교에 들고 있어요.
The boy will carry his book to school.,소년이 학교에 책을 가지고 다녀요.
Let's carry out our plan today.,오늘 우리 계획을 실행해요.
My brother is carsick in the bumpy car.,내 동생은 울퉁불퉁한 차에서 차멀미 하고 있어요.
I watch a cartoon with my friends.	I watch a cartoon with my friends.,나는 친구들과 만화를 봐요.
The lawyer works on the case every day.,변호사가 매일 소송을 진행하고 있어요.
I put my toy in the case.	,내 장난감을 상자에 넣었어요.
"In this case, let's share our snacks.",이 경우에는 우리 간식을 나눠 먹어요.
The brave detective solved the case quickly.,용감한 형사가 사건을 빨리 해결했어요.
Cassava is a root crop from South America.,카사바는 남미에서 온 뿌리 작물이예요.
My friend wears a casual t-shirt.,내 친구가 격식 없는 티셔츠를 입고 있어요.
I wear casual clothes every day.,나는 평소에 편안한 옷을 입어요.
The cat is sleeping in a sunny spot.,고양이가 따뜻한 햇살 아래서 자고 있어요.
I catch a cold in winter.	,나는 겨울에 감기에 걸려요.
I catch what you say.,무슨 말 하는지 잘 이해해요.
I will catch the train to school.,나는 학교로 기차를 탈 거예요.
I catch the ball.,나는 공을 잡아요.
The fun book catches my eye.,재미있는 책이 내 시선을 끌어요.
Our catch is full of fish.,우리의 어획량은 물고기로 가득해요.
You can catch a cold if you don't wear a hat.,모자를 쓰지 않으면 감기에 걸릴 수 있어요.
A shiny toy caught my eye.,반짝이는 장난감이 내 시선을 끌었어요.
The catcher catches the ball in the game.,포수가 경기 중에 공을 잡아요.
I found a cave in the forest.,나는 숲 속에서 동굴을 찾았어요.
We celebrate our birthday with a cake.,우리는 케이크와 함께 생일을 기념해요.
We celebrate birthdays with cake and balloons.,우리는 생일을 케이크와 풍선으로 축하해요.
The celebrity waved at the kids.,유명인이 아이들에게 손을 흔들었어요.
The cell is a small dark room.,감옥은 작고 어두운 방이에요.
A cell is very small and full of life.,세포는 매우 작고 생명으로 가득해요.
I use my cell phone to call my friend.,나는 휴대전화로 친구에게 전화해요.
I use my cellphone to call my friend.,나는 휴대전화로 친구에게 전화해요.
I call my dad with my cellphone.,저는 휴대전화로 아빠에게 전화해요.
The fountain is at the center	of the park.,분수는 공원	중앙에 있어요.
We meet at the center for fun events.,우리는 회관에서 재미있는 행사를 해요.
We play at the center today.,오늘 센터에서 놀아요.
The central path leads to our school.,중앙의 길이 우리 학교로 이어져요.
The centre is a fun place for kids.,센터는 아이들이 즐겁게 노는 곳이에요.
Our class had a special ceremony at school.	,우리 반은 학교에서 특별한 의식을 했어요.
I certainly want ice cream today.,나는 확실히 오늘 아이스크림을 먹고 싶어요.
I will certainly help my friend.,나는 꼭 내 친구를 도와줄 거예요.
I got a certificate in art class.	,미술 수업에서 증명서를 받았어요.
Ceviche is a fun food from Peru.,세비체는 페루의 재미있는 음식이에요.
I sit on a blue chair.,나는 파란 의자에 앉고 있어요.
Our chair leads the class meeting.,우리의 의장이 학급 회의를 이끌고 있어요.
I challenge the wrong answer in class.,나는 수업에서 틀린 답에 이의를 제기해요.
I enjoy solving a new challenge every day.,나는 매일 새로운 난제를 풀어보는 것을 즐겨요.
Climbing the hill is challenging.,언덕을 오르는 것이 도전적이에요.
Our team won the championship.,우리 팀이 선수권 대회에서 이겼어요.
There is a chance to see a rainbow.,무지개를 볼 수 있는 가능성이 있어요.
I have a chance to win a small prize.,작은 상을 받을 기회가 있어요.
I put my change in my piggy bank.,내 잔돈을 돼지 저금통에 넣었어요.
I got change at the shop.,저는 가게에서 잔돈을 받았어요.
I change into my pajamas at night.,나는 밤에 잠옷으로 바꾸어요.
The weather is changeable today.,오늘 날씨가 변덕스러워요.
I watch cartoons on my channel.,나는 채널에서 만화를 보고 있어요.
The channel is between two islands.,해협은 두 섬 사이에 있어요.
A smile is a channel for happy feelings.,미소는 행복한 감정을 표현하는 수단이에요.
"In our book, every letter is a character.",우리 책에서 모든 글자가 문자에요.
The character in the story is friendly.,이야기의 등장인물이 친절해요.
I wrote one character on my paper.,내 종이에 한 문자를 썼어요.
His character is gentle and kind.,그의 특징은 부드럽고 친절해요.
My family gives food to charity.,우리 가족은 자선 단체에 음식을 줘요.
The charity helps people in need.,자선 단체가 도움이 필요한 사람들을 도와줘요.
The cat chases the butterfly in the garden.,고양이가 정원에서 나비를 쫓고 있어요.
I chase my dream.,나는 내 꿈을 추구해요.
I bought a cheap toy today.,나는 오늘 값싼 장난감을 샀어요.
I check	my bag.,가방을 확인해요.
I received the check at the restaurant.,저는 식당에서 계산서를 받았어요.
My uncle gave me a check on my birthday.,삼촌이 생일에 수표를 주셨어요.
I cheer for my team.,나는 내 팀을 응원해요.
We cheer up our classmate with kind words.,우리는 반 친구를 친절한 말로 격려해요.
I cheer up my friend with a song.,나는 노래로 친구를 기운 나게 해요.
The cheerful girl laughs with her friends.,명랑한 소녀가 친구들과 웃어요.
The cheetah runs fast in the savanna.	,치타가 초원에서 빠르게 달려요.
The chef cooks a delicious meal.,요리사가 맛있는 음식을 만들어요.
The chemical is in a small bottle.,작은 병에 화학 물질이 있어요.
I study chemistry in our lab.,우리 실험실에서 화학을 공부해요.
I play chess with my friend.,나는 친구와 체스를 해요.
Mom cooks chicken for dinner.,엄마가 저녁에 닭고기를 요리해요.
The child plays with a red ball in the park.,어린이가 공원에서 빨간 공으로 놀고 있어요.
I see a chili on my plate.,내 접시에 칠리 고추가 있어요.
I add a chili pepper to my salad.,외래 고추를 샐러드에 넣어요.
The big house has a tall chimney.,큰 집에는 높은 굴뚝이 있어요.
The chimney sweep cleans chimneys every morning.,굴뚝 청소부가 매일 아침 굴뚝을 청소해요.
I learn Chinese at school.,저는 학교에서 중국어를 배워요.
I eat chocolate for a snack.,나는 간식으로 초콜릿을 먹어요.
The choir sings a happy song.    The choir sings a happy song.,성가대가 즐거운 노래를 불러요.
The choir sings a happy song.,합창단이 행복한 노래를 불러요.
I choose my favorite toy.,나는 가장 좋아하는 장난감을 고르고 있어요.
I use a chopstick for my noodles.,나는 국수를 먹을 때 젓가락을 사용해요.
The chorus sings a song together.,코러스가 함께 노래해요.
The children sang a chorus at the school show.,아이들이 학교 공연에서 합창했어요.
The bee circles the flower.,벌이 꽃을 빙빙 돌고 있어요.
We circle the big tree.,아이들이 큰 나무 주위를 돌고 있어요.
Please circle the red apple.,빨간 사과에 동그라미 표시해요.
I draw a circle with my red pen.,나는 빨간 펜으로 원을 그리고 있어요.
The city has many bright lights.,도시에는 많은 밝은 불빛이 있어요.
Ancient civilization built many cool things.,옛 문명이 멋진 것들을 만들었어요.
I found a small clam at the beach.,나는 해변에서 작은 조개를 찾았어요.
We clap after a fun school play.,재미있는 학교 공연 후에 박수를 쳐요.
My drawing is of first class quality.,내 그림은 최고 등급이에요.
My class learns new things.,우리 학급이 새로운 것을 배워요.
"In history, we learn about class.",역사 시간에 우리는 계급에 대해 배워요.
Our class is fun today.,우리 수업은 재미있어요.
I like classical music at school.,학교에서 고전 음악을 듣고 있어요.
I love classical music on sunny days.,나는 맑은 날 클래식 음악을 좋아해요.
My classmate loves to play soccer.,내 동급생이 축구하러 가요.
Our classroom is bright and happy.,우리 교실은 밝고 행복해요.
She uses clay to make a small pot.,그녀는 작은 항아리를 만들기 위해 찰흙을 사용해요.
My friend has a clean heart.,내 친구의 마음은 순수해요.
My room is clean.,내 방이 깨끗해요.
We clean up our room after play.,놀이 후에 우리 방을 청소해요.
The rabbit cleared the puddle in one jump.,토끼가 한 번에 웅덩이를 뛰어넘었어요.
I clear the toys from my room.,나는 방에서 장난감을 치워요.
Please clear the bowl after eating.,식사 후 그릇을 비워 주세요.
The farmer clears the land for planting crops.,농부가 작물을 심기 위해 땅을 개간해요.
Clear the board before we start our game.,게임을 시작하기 전에 칠판을 지워요.
The sky is clear after the rain.,비 온 후에 하늘이 분명해요.
The sky is clear today.	,하늘이 맑아요.
I can clearly see the red car.,나는 빨간 차를 뚜렷하게 볼 수 있어요.
I climb the hill with my dog.,나는 강아지와 언덕을 오르고 있어요.
The climber is climbing a tall mountain.,등반가가 높은 산을 오르고 있어요.
I visit the clinic when I feel sick.,아플 때 개인병원에 가요.
The clock is on the wall.,시계가 벽에 있어요.
Please close the door.,문을 닫아 주세요요.
Please close your eyes and dream.,눈을 감고 꿈을 꿔요.
We clap at the close of the play.,우리는 연극의 끝에서 박수를 쳐요.
My house is close to the park.,내 집은 공원 근처에 있어요.
The race was close until the finish.,경주가 마지막까지 아슬아슬했어요.
The race was close and fun.,경주가 치열하고 즐거웠어요.
The teacher gave a close look at our drawing.,선생님이 우리 그림을 면밀히 봤어요.
The friends worked closely on their art project.	,친구들이 미술작품을 친밀하게 함께 만들었어요.
The boy listened closely to the teacher.,소년이 선생님의 말을 자세히 들었어요.
I keep my hat in the closet.,나는 내 모자를 벽장에 보관해요.
I have a closet surprise in my room.,내 방에 비밀의 놀라움이 있어요.
I use a soft cloth to wipe the table.,나는 부드러운 천으로 탁자를 닦아요.
I use a cloth to clean my toys.	I love soft fabric.,나는 옷감을 사용해서 장난감을 닦아요.	나는 부드러운 직물을 좋아해요.
I wear soft clothes at school.,나는 학교에서 부드러운 옷을 입어요.
I wear my colorful clothing at school.,나는 학교에서 알록달록한 의류를 입어요.
Worry can cloud my clear mind.,걱정이 내 맑은 마음을 흐리게 해요.
A white cloud floats in the blue sky.,하얀 구름이 파란 하늘에서 떠다녀요.
It is cloudy today.,오늘은 흐린 날이에요.
The clown makes my friends laugh.,어릿광대가 내 친구들을 웃게 해요.
I join the club after school.	We play fun games together.,나는 방과 후에 동아리에 가입해요. 	우리 친구들과 함께 놀아요.
The boy uses a club to hit the ball.,소년이 방망이로 공을 쳐요.
I join a club at school. 	 I enjoy club activities.,나는 학교에서 클럽에 들어가요. 	 클럽 활동을 즐겨요.
He swings his club to hit the ball.,그가 골프채로 공을 쳐요.
We see the coastline beside the blue sea.,우리는 파란 바다 옆 해안지대를 봐요.
I see a coconut	by the sea.,코코넛이 바닷가 옆에 있어요.
I have a cold.,나는 감기에 걸렸어요.
The cold wind makes me shiver.,차가운 바람이 나를 떨게 해요.
Ben stayed cold even when his friend was sad.,벤은 친구가 슬플 때도 냉정했어요.
I eat cold noodles.,나는 식은 국수를 먹어요.
The sandcastle will collapse if the waves come.,파도가 오면 모래성이 무너져요.
Our plan may collapse if we do not work hard.,우리의 계획은 열심히 하지 않으면 실패할 수 있어요.
The tower had a collapse during the wind storm.,탑이 바람 폭풍 속에서 붕괴되었어요.
"After a long game, Ben's collapse made him rest.","긴 게임 후, 벤은 쇠약해져서 쉬었어요."
I collect shiny coins from my piggy bank.,나는 돼지 저금통에서 반짝이는 동전을 모으고 있어요.
The government collects taxes from each family.,정부가 각 가족에서 세금을 징수해요.
I have a collection of pretty rocks.,나는 예쁜 돌 모음을 가지고 있어요.
I read a collection of fun poems today.,나는 오늘 재미있는 시 모음집을 읽었어요.
My dad works at a college.,아빠가 단과대학에서 일하고 있어요.
A colony is land ruled by a country.,식민지는 나라가 다스리는 땅이에요.
The ants live in a big colony.,개미들이 큰 군집에서 살고 있어요.
I color my hair with blue dye.,나는 파란 염료로 머리를 염색해요.
I see color in my new crayon.,나는 새 크레용에서 색을 봐요.
I use color to paint a rainbow.,나는 그림물감으로 무지개를 그리고 있어요.
I enjoy drawing with colored pencils.,나는 색연필로 그림 그리는 것을 즐겨요.
My colored friend is smart and kind.,내 유색 인종의 친구는 똑똑하고 다정해요.
The butterfly is very colorful.,나비가 아주 화려해요.
The tall column holds the building.,기둥이 건물을 지탱하고 있어요.
I draw a column on my paper.,나는 종이에 열을 그려요.
The combination of colors makes a nice picture.,색들의 결합이 예쁜 그림을 만들어요.
Please come to my party.,제 파티에 오세요~요.
I come across my friend at the park.,공원에서 친구를 우연히 만났어요.
I come across a shiny stone in the park.,나는 공원에서 우연히 반짝이는 돌을 발견했어요.
Please come back home after school.,학교가 끝난 후 집으로 돌아오세요.
Lily came in first place in the art contest.,릴리가 미술 대회에서 1등을 차지했어요.
A bright idea might come to mind while drawing.,그림 그릴 때 밝은 생각이 떠오르고 있어요.
Nice thoughts come to my mind when I draw.,그림을 그릴 때 좋은 생각이 떠올라요.
Your wish can come true if you believe.,네 믿으면 너의 소원이 실현될 수 있어요.
New topics come up in our class.	,수업 중에 새로운 주제가 언급되었어요.
The moon will come up at night.	,달이 밤에 나타나요.
The sun comes up every morning.,태양이 매일 아침에 올라와요.
The idea came up when we talked.,이야기할 때 아이디어가 떠오른어요.
A problem can come up anytime.	문제가 언제든 발생할 수 있어요.,문제가 언제든 발생할 수 있어요.
My birthday will come up soon.,제 생일이 곧 다가와요.
We come up with a fun idea for our game.,우리 게임을 위해 재미있는 아이디어를 제안해요.
I come up with a fun game.,나는 재미있는 게임을 생각해내요.
He can come up with a fun idea.,그는 재밌는 아이디어를 찾아내요.
She sits comfortably on a soft chair.,그녀는 부드러운 의자에 편안히 앉아 있어요.
I like my comic book.,저는 만화책을 좋아해요.
I communicate with my friend in class.,수업 중 친구와 의사 소통을 해요.
We use communication skill to share our feelings.,우리는 의사소통 기술로 감정을 나누어요.
We go to the community center to have fun.,우리는 지역 주민 회관에 가서 놀아요.
My dad works at a company.,아빠가 회사에서 일해요.
I like having company when I play.,놀 때 함께 있으면 기뻐요.
I share my lunch with my company.,나는 내 동료와 점심을 나눠 먹어요.
I compete with my friend to win a prize.,나는 친구와 상을 받기 위해 경쟁해요.
We have a fun competition in class.,우리 반에서 재미있는 경쟁을 해요.
My class entered a fun competition today.,우리 반은 재미있는 대회에 참가했어요.
The competitor runs fast in our school race.,경쟁자가 우리 학교 경주에서 빠르게 달리고 있어요.
I completely understand the story.,나는 그 이야기를 완전히 이해해요.
My math homework is complicated.	,내 수학 숙제는 복잡해요.	
I gave a kind compliment to my friend.,친구에게 다정한 인사말을 전했어요.
The composer writes a new song.,작곡가가 새로운 노래를 작곡하고 있어요.
I use my computer to learn new things.,나는 새로운 것을 배우기 위해 컴퓨터를 사용해요.
My mom is concerned about my homework.,엄마가 내 숙제 때문에 걱정스러워요.
The cat is concerned about the loud sound.,고양이가 큰 소리에 대해 의식 있어요.
I listened to a concerto at our school concert.,학교 음악회에서 협주곡을 들었어요.
We reached a happy conclusion.,우리는 행복한 결론에 도달했어요.
The toy is fun	when it is in good condition.,장난감은 좋은 상태일 때 재미있어요.
You must follow every condition to play the game.,게임을 하려면 모든 조건을 따라야 해요.
The conditions are perfect for playing outside.,밖에서 놀기에 형세가 완벽해요.
The teacher will conduct the kids through the park.,선생님이 아이들을 공원으로 안내해요.
The teacher will conduct our class.,선생님께서 우리 수업을 수행해요.
We conduct a fun activity in school.,우리 학교에서 재미있는 활동을 해요.
The teacher will conduct the school band.,선생님이 학교 밴드를 지휘해요.
Metal can conduct heat easily.,금속이 열을 쉽게 전도해요.
Your conduct in class is good.	,네 행동이 수업 중에 좋아요.
The conductor guides us safely to the park.,안내자가 우리를 안전하게 공원으로 안내해요.
The conductor leads the orchestra.,지휘자가 오케스트라를 이끌어요.
I eat ice cream in a cone.	I love it.,저는 원뿔 아이스크림을 먹어요.	정말 좋아해요~요.
The girl will confess her mistake.,소녀가 자신의 실수를 고백해요.
Tom is confident because he practiced hard.,톰은 열심히 연습해서 자신 있어요.
She spoke	confidently to her friend.,그녀가 친구에게 자신 있게 말했어요.
The boy looks confused when he cannot solve the puzzle.,소년이 퍼즐을 풀지 못해 혼란스러워요.
The confusing maze is fun.,혼란시키는 미로가 재미있어요.
The new game caused some confusion.,새 게임이 약간의 혼동을 일으켰어요.
I congratulate you	for trying your best.,나는 네가 최선을 다한 것을	축하해요.
I send a congratulation card to my friend.	I send a congratulation card to my friend.,나는 내 친구에게 축하 카드를 보냈어요.	나는 내 친구에게 축하 카드를 보냈어요.
"Congratulations, you did a great job!	Keep smiling.","잘했어요, 축하해요.	항상 웃으세요요."
The congress makes important laws for our country.,국회는 우리 나라를 위해 중요한 법을 만들어요.
The congress is a meeting to share ideas.,대표자들의 회의는 아이디어를 나누기 위해 열려요.
The connection between my toys makes play fun.,내 장난감 사이의 연결이 놀이를 재미있게 만들어요.
A connection is a bridge between two ideas.,연결이 두 생각 사이의 다리가 되어줘요.
The blue container holds my lunch.,파란 컨테이너가 내 점심을 담고 있어요.
I put my toy in the container.,장난감을 그릇에 넣어요.
The box has fun contents inside.,상자 안에는 재미있는 내용물이 들어있어요.
Asia is the biggest continent on Earth.,아시아는 지구에서 가장 큰 대륙이에요.
Too many toys contribute to a messy room.,너무 많은 장난감이 지저분한 방의 원인이 돼요.
We all contribute to our happy school.,우리 모두가 행복한 학교에 기여해요.
Helping each other contributes to our classroom fun.,서로 도와주는 것은 우리 교실의 즐거움에 기여해요.
I control the small robot with my remote.,내 리모컨으로 작은 로봇을 제어해요.
I control the toy car with a small remote.,나는 작은 리모컨으로 장난감 자동차를 조절해요.
I have control when I run fast.,나는 빨리 달릴 때 내 몸을 조절해요.
The teacher has control of the class.,선생님이 반을 지배하고 있어요.
We enjoy the convenience of our computer.,우리는 우리 컴퓨터의 편리함을 좋아해요.
The convenient door opens with one push.,편리한 문이 한 번 누르면 열려요.
I cook dinner for my family.,나는 우리 가족을 위해 저녁을 요리해요.
The cook is cooking food.,요리사가 음식을 만들고 있어요.
I eat a cookie after school.,학교 끝나고 쿠키를 먹어요.
My mom is cooking dinner.,엄마가 저녁을 요리하고 있어요.
My sister joined a cooking class.,누나가 요리하는 수업에 갔어요.
I cool my hot milk by blowing on it.,나는 뜨거운 우유를 불어서 식혀요.
He wears a cool hat.,그는 훌륭한 모자를 쓰고 있어요.
The pool water is cool today.,수영장 물이 시원해요.
This hat is cool.,이 모자는 멋져요.
My friend is cool when solving hard puzzles.,내 친구는 어려운 퍼즐을 풀 때 침착해요.
The teacher used a bell to cool down her excited students.,선생님이 신난 학생들을 진정시키기 위해 벨을 사용했어요.
The soup will cool down soon.,수프가 곧 시원해지겠어요.
I plant corn in a small field.,나는 작은 밭에 곡물을 심어요.
I eat corn at lunch.,점심에 옥수수를 먹어요.
I see a corn cob in the garden.,나는 정원에서 옥수수 속대를 봐요.
I ate a yummy corn dog at the fair.,오늘 박람회에서 맛있는 콘도그를 먹었어요.
The toy is in the corner.,장난감이 구석에 있어요.
The toy is in the corner.,장난감이 구석에 있어요.
This toy cost three dollars.,이 장난감 값이 세 달러예요.
The cost of ice cream is low.,아이스크림의 비용은 낮아요.
I love cotton candy at the fair.,나는 놀이공원에서 솜사탕을 사랑해요.
I sit on the couch.,저는 소파에 앉아 있어요.
I could ride my bike at the park.,나는 공원에서 자전거를 탈 수 있었어요.
I counsel my friend when he is upset.	,내 친구가 속상할 때 상담해요.	
I listened to my teacher's counsel.	I listened to my teacher's counsel.,나는 선생님의 조언에 귀 기울였어요.
I got counseling at school.,저는 학교에서 상담을 받았어요.
The counselor helps me when I feel sad.,상담가가 내가 슬플 때 도와줘요.
The stars are countless in the sky.,하늘에 별이 무수히 많아요.
I love my country because it is safe.,내 나라가 안전해서 좋아요.
We ride bikes in the country.,우리는 시골에서 자전거를 타고 있어요.
A couple holds hands in the park.,두 사람이 공원에서 손을 잡고 있어요.
I have a coupon to buy a cookie.,나는 쿠폰으로 쿠키를 살 수 있어요.
The brave kid had courage to try the new slide.,용감한 아이가 새로운 미끄럼틀을 타려고 용기를 냈어요.
My cousin and I play fun games.,내 사촌과 나는 재밌는 게임을 하고 있어요.
I cover the book with my hand.,나는 손으로 책을 가려요.
The reporter will cover the exciting fair.,기자가 신나는 박람회를 취재할 거예요.
The teacher covers songs and games in class.,선생님께서 수업시간에 노래와 게임을 포함시키고 있어요.
I cover for my friend when she is sick.,친구가 아플 때 제가 대신해요.
We cover art in our class.,우리 반에서 미술을 다루고 있어요.
I put the cover on my book.,내 책에 덮개를 덮었어요.
The blue cover is on the box.,푸른 덮개가 상자 위에 있어요.
My book has a red cover.,내 책은 빨간 표지예요.
A covered box is on the table.	,덮개를 씌운 상자가 탁자 위에 있어요.
The cake is covered with icing.,케이크에 아이싱이 덮여 있어요.
The tall man tried to cow the scared kitten.,키 큰 남자가 무서운 새끼 고양이를 겁주었어요.
The cow is eating green grass.,암소가 초록색 풀을 먹고 있어요.
I sit on a cozy chair.,나는 아늑한 의자에 앉아요.
The crab crawls on wet sand.,게가 젖은 모래 위를 기어가요.
I craft a paper airplane in art class.,나는 정성 들여 미술 시간에 종이비행기를 만들어요.
I use craft to make a paper boat.,종이배를 만들 때 기술을 사용해요.
We make craft with paper and scissors.,우리들은 종이와 가위로 공예를 만들어요.
"A craft is a boat, a ship, or an airplane.","크래프트는 보트, 배, 또는 항공기가 될 수 있어요."
The crane lifts a big load at the site.,기중기가 현장에서 큰 짐을 들어올려요.
The crane walks by the river bank.,학이 강가에서 걸어가고 있어요.
The crane bird is near the pond.	The big crane lifts the heavy box.,두루미가 연못 옆에 있어요.	큰 기중기가 무거운 상자를 들어요.
The crazy rabbit hopped very fast.,미친 토끼가 아주 빨리 뛰고 있어요.
That crazy idea makes me laugh.,그 말도 안 되는 아이디어가 나를 웃게 만들어요.
I made a small creation.,저는 작은 창작물을 만들었어요.
Creation brings new and fun ideas to the world.	,창조가 세상에 새롭고 재미있는 아이디어를 가져다줘요.
The creative kid builds a fun robot.,창조적인 아이가 재미있는 로봇을 만들어요.
The artist paints creatively with bright colors.,예술가가 창의적으로 밝은 색으로 그림을 그려요.
Creativity helps me think of new ideas.,창의력이 나에게 새로운 생각을 하게 도와줘요.
The creator made a lovely park.,창조자가 아름다운 공원을 만들었어요.
The crew works together on a ship.,팀이 배에서 함께 일하고 있어요.
The crew works on the plane.,승무원이 비행기에서 일하고 있어요.
We play cricket on a sunny day.,우리는 맑은 날에 크리켓 경기를 해요.
I hear a cricket singing in the grass.,잔디밭에서 귀뚜라미가 노래하고 있어요.
The crispy cookie is fun to eat.,바삭바삭한 쿠키를 먹는 것이 즐거워요.
The building is in critical danger.,그 건물이 위태로운 상태에 있어요.
My teacher gave a critical comment on my drawing.,선생님께서 제 그림에 비판적인 의견을 주셨어요.
It is critical to study every day.,매일 공부하는 것이 중요해요.
The teacher looked critically at our picture.,선생님께서 우리의 그림을 비판적으로 보셨어요.
The teacher examines our work critically.,선생님이 우리 작업을 대단히 신중하게 살펴봐요.
The doctor watched the boy's injury critically.,의사가 소년의 상처를 심각하게 살펴보고 있어요.
Do not criticize your friend.,친구를 비난하지 마세요.
"Never criticize a friend, help them instead.",친구를 비평하지 말고 대신 도와주세요요.
I like a croissant for snack.,나는 간식으로 크루아상을 좋아해요.
We crop apples in the small orchard.,우리는 작은 과수원에서 사과를 수확해요.
The crop grows in the sunny field.,농작물이 화창한 밭에서 자라고 있어요.
The farmer counts his crop each year.	,농부가 매년 산출량을 세고 있어요.	
I cross the road every day.,나는 매일 길을 건너요.
I cross the road.,나는 길을 가로지르어요.
I cross my legs when I sit.	I cross my legs when I sit.,앉을 때 다리를 꼬고 있어요.	앉을 때 다리를 꼬고 있어요.
The cross hangs on the bright church wall.,교회 벽에 십자가가 걸려 있어요.
We stop at the crosswalk to cross the road safely.,우리는 횡단보도에서 길을 안전하게 건너요.
"In the morning, the rooster crows in our farm.","아침에, 닭이 우리 농장에서 울어요."
A crow flies over a big tree.,까마귀가 큰 나무 위를 날고 있어요.
The playground is crowded with kids.,놀이터에 아이들이 붐비고 있어요.
I crush a can with my hand.,나는 손으로 깡통을 으스러뜨려요.
I have a crush on my classmate.,저는 제 반 친구에게 홀딱 반했어요.
The baby will cry if he loses his toy.,아기가 장난감을 잃으면 울어요.
The baby cries when he is sad.,아기는 슬플 때 울어요.
The cub is playing near its mom.,새끼짐승이 엄마 옆에서 놀고 있어요.
We learn about culture at school.,우리 학교에서 문화를 배워요.
A blue cup sits on the table.,파란 잔이 탁자 위에 있어요.
The cupboard is in our kitchen.	It holds plates and cups.,찬장이 우리 부엌에 있어요.	접시와 컵을 보관하고 있어요.
I ate a yummy cupcake today.,오늘 맛있는 컵케이크를 먹었어요.
"When I run, my curly hair bounces.",내가 뛰면 곱슬곱슬한 머리가 튀어요.
I curry the horse gently each day.,나는 매일 말 따위를 빗질해요.
I like curry with rice.,나는 밥과 함께 카레를 좋아해요.
We eat curry and rice after school.,학교 후에 카레라이스를 먹어요.
I draw a curve with my crayon.,내 색연필로 곡선을 그려요.
Our teacher graded tests on a curve.,우리 선생님이 시험을 상대 평가로 채점하셨어요.
The pitcher threw a curve to the batter.,투수가 타자에게 커브를 던졌어요.
The curved slide is fun to ride.,구부러진 미끄럼틀이 타기 재미있어요.
The curvy path leads to the park.,구불구불한 길이 공원으로 이어져요.
I sat on the cushion.,나는 쿠션 위에 앉았어요.
The customer smiles at the shop.,고객이 상점에서 웃고 있어요.
The customer service helps you with questions.,고객센터가 질문에 답해줘요.
I will cut the paper.,나는 종이를 잘라요.
The teacher cut the candy amount.,선생님이 사탕 양을 줄였어요.
I have a small cut on my finger.,내 손가락에 작은 베인 상처가 있어요.
We cut down on sugar in our snack.,우리 간식에서 설탕을 줄이고 있어요.
Please do not cut in line.,줄에서 새치기하지 말아요.
I cut off the rope with scissors.,나는 가위로 밧줄을 잘랐어요.
My dad cut off the power after the storm.,아빠가 폭풍 후에 전기를 차단했어요.
Cyberbullying is when someone is mean online.,온라인에서 누군가가 나쁘게 굴면 사이버 폭력이라고 해요.
My dad helps me every day.,아빠가 매일 도와줘요.
I brush my teeth daily.,나는 매일 이를 닦아요.
I dance happily at the school party.,나는 학교 파티에서 행복하게 춤추고 있어요.
There is danger in the dark cave.,어두운 동굴에 위험이 있어요.
Do not cross	the dangerous bridge.,위험한 다리를 건너지 마세요~요.
Darkness covers the forest at night.,암흑이 밤에 숲을 덮고 있어요.
I collected data for my school project.,나는 학교 프로젝트를 위해 자료를 모았어요.
The database stores our school pictures.,데이터베이스는 우리 학교 사진을 저장해요.
Scientists date rocks to learn how old they are.,과학자들이 바위의 연대를 추정해요.
I write the date on my calendar.,나는 달력에 날짜를 써요.
I eat a date for a snack.,나는 간식으로 대추를 먹고 있어요.
My daughter loves to draw pictures.,내 딸이 그림 그리기를 좋아해요.
We play outside in the day.,낮에 밖에서 놀아요.
Today is a happy day.,오늘은 기쁜 날이에요.
Friday is my favorite day.,금요일은 제가 가장 좋아하는 요일이에요.
I practice my spelling day after day.,나는 매일같이 철자 연습을 해요.
I have a day off.	Let's relax and play.,오늘은 쉬는 날이에요.	함께 놀아요.
My computer	is dead.,내 컴퓨터가 작동을 안 해요.
My dead battery will not make my toy work.,내 죽은 배터리로 인해 장난감이 작동하지 않아요.
The deaf boy rides his blue bike.,귀머거리 소년이 파란 자전거를 타고 있어요.
I deal with chores at home.,나는 집안일을 처리해요.
The dealer helps you find a pretty house.,중개인이 예쁜 집을 찾도록 도와주고 있어요.
I sent a gift to my dear friend.,친애하는 친구에게 선물을 보냈어요.
"Dear Mom, I love you very much.","친애하는 엄마, 정말 사랑해요."
"Dear,	I dropped my toy.","이런,	내 장난감을 떨어뜨렸어요."
Death means the end of life.,죽음은 생명의 끝을 의미해요.
I decide what to eat.,나는 무엇을 먹을지 결정해요.
I made a decision to share my snack.,나는 간식을 나누기로 결정했어요.
I put a decoration on my birthday card.,나는 생일 카드에 장식을 붙였어요.
The pool is deep.,수영장이 깊어요.
The deep blue ocean is very pretty.,깊은 파란 바다가 아주 예뻐요.
The knight defends the castle.,기사님이 성을 방어하고 있어요.
I definitely love my new toy.,나는 분명히 내 새 장난감을 좋아해요.
