,제목,출판사,교육과정,Lesson,Title,Structure
213,영어,YBM(박),2015,5,The Joy of Appreciating Art,"• 조동사 + have p.p
The artist must have painted the skull to remind us that we will, one day, die."
214,영어,YBM(박),2015,6,Traveling for Volunteer Work,"• 명사를 수식하는 분사구
We had ceviche, a dish of fish soaked in lime juice."
215,영어,YBM(박),2015,7,Bringing Creativity into Our Lives,"• 계속적 용법의 관계대명사 which
To lions, a moving torch could only mean that a person was holding it, which would stop them from approaching the stable."
216,영어,YBM(박),2015,8,"Green Life, Green Earth","• 가정법 과거
If it were not for electricity, we would have to live like primitive people."
217,영어,YBM(박),2015,9,What Makes Sports More Exciting,"• as if 가정법
The soccer fans in the theater felt as if they were part of the game."
218,영어,YBM(박),2015,10,Feel What Others Feel,"• 복합관계대명사
We may want to do whatever we can to help the person."
219,영어,YBM(한),2015,1,"A Fresh New
 Start","• 시간․조건의 부사절에서의 시제
It will happen to you when you become successful."
220,영어,YBM(한),2015,2,"Working
 Together","• 조동사+have p.p.
If so, it may have reminded you of a highway packed with cars."
221,영어,YBM(한),2015,3,"Eat Right,
 Be Healthy","• 생략
Every year, Americans consume 170 liters of soda per person, and the British (consume) 100 liters (of soda per person)."
222,영어,YBM(한),2015,4,"Invention for
 the Rainforests","• 목적의 접속사 so that 
He attached a sensitive microphone to the cell phone so that it could detect chainsaw noise."
223,영어,YBM(한),2015,5,"How to Win
 Over Someone's
 Mind","• 분사구문
Feeling anxious and unhappy, he had to find a way to resolve his feelings."
224,영어,YBM(한),2015,6,"The Most
 Efficient Job in
 the World","• to부정사의 의미상의 주어
It would be difficult for them to carry their own dabba."
225,영어,YBM(한),2015,7,"Amazing
 Architecture","• that 절이 목적어인 문장의 수동태 
It is expected that the church will be completed sometime in 2026."
226,영어,YBM(한),2015,8," Living with
 Robots","• 목적격 보어로 쓰인 to부정사
This awkward move caused them to lose their balance."
227,영어Ⅰ,YBM(박),2015,1,"Healthy Living, Happy Life","• 대동사 do
Many teens also suffer from a high level of stress, often without even knowing that they do."
228,영어Ⅰ,YBM(박),2015,2,Origins of Everyday Things,"• 분사구문 (being 생략)
Imported from South India and nearby islands, black pepper was an expensive spice."
229,영어Ⅰ,YBM(박),2015,3,Advertising in Your Life,"• 부정어 도치
Never can traditional funding support the increased cost."
230,영어Ⅰ,YBM(박),2015,4,Becoming Active as Consumers and Sellers,"• 가정법 과거 (Without ~ / But for ~)
But for the sharing service, one more car would be made only to stay still in her garage most of the time."
231,영어Ⅰ,YBM(박),2015,5,Cultures Around the World,"• 완료부정사
The local gypsy cultures are known to have played a great role in developing the performing art."
232,영어Ⅰ,YBM(박),2015,6,The Future of Space Exploration,"• 현재완료 수동태
We have much more to learn about Mars, although much has already been discovered."
233,영어Ⅰ,YBM(한),2015,1,Learn from Failures,"• 완료부정사
Edison is said to have failed 9,999 times before creating a perfect light bulb."
234,영어Ⅰ,YBM(한),2015,2, Technology and Life,"• 복합관계부사
Now we can take pictures of anything we want, whenever we want."
235,영어Ⅰ,YBM(한),2015,3, Extend Your View of Art,"• 간접의문문
When he was asked why moon jars attracted him so much, he said, “Korean jars have broadened my idea of beauty.”"
236,영어Ⅰ,YBM(한),2015,4,A Trip for Cultural Diversity,"• 「so ... that ~ (너무 …해서 ~하다)」 구문
The atmosphere was so lively and exciting that the entire event felt more like a small festival than a market."
237,영어Ⅰ,YBM(한),2015,5,The Small but Great Potato,"• 「one of the＋최상급＋복수명사」
It was one of the deadliest famines in history."
238,영어Ⅰ,YBM(한),2015,6, Nature and Environment,"• 분사의 관용적 표현
Generally speaking, naturally occurring sinkholes cannot be prevented."
239,영어Ⅱ,YBM(박),2015,1,Treasure out of Trash,"• 가목적어 it, 진목적어 to부정사
Steep roads made it impossible for vehicles to access this poor neighborhood."
240,영어Ⅱ,YBM(박),2015,2,We Are Stronger Together,"• 동격의 of, that
The idea of turning back to LaGuardia was quickly dismissed."
241,영어Ⅱ,YBM(박),2015,3,Fun Science about the Human Body,"• 상관 접속사
Niels Stensen discovered in 1662 that not emotions but the lacrimal gland is the proper origin of tears."
242,영어Ⅱ,YBM(박),2015,4,Equality for All,"• 완료분사구문
Having never felt such embarrassment and fear before, she wondered if she should step off the course."
243,영어Ⅱ,YBM(박),2015,5,Sharing the Planet with Every Creature,"• 목적격 보어로 to부정사 사용
This way we can expect commercial growers to reduce their use of pesticides."
244,영어Ⅱ,YBM(박),2015,6,Humans and Technology,"• 주장·제안·요구·명령 동사 + that + 주어 + (should) + 동사원형
British scientists, engineers, and scholars suggested that designers, builders, and users of robots follow five ethical principles."
245,영어Ⅱ,YBM(한),2015,1,"Microbes and
 Health","• 비인칭 독립분사구문
Given this knowledge, nutritionists suggest the following ways to keep our guts healthy."
246,영어Ⅱ,YBM(한),2015,2,"Lesson 2
 Money
 Matters","• 가목적어 it
Swedish people would find it surprising that this man tried to rob a bank at all."
247,영어Ⅱ,YBM(한),2015,3,"Lesson 3 
 Gift and
 Achievement","• 명사절을 이끄는 접속사 if / whether
 If you want to know whether a 14-year-old runner will be a good runner when he is 24, you must wait ten years"
248,영어Ⅱ,YBM(한),2015,4,"Lesson 4
 Look into
 Your Mind","• 상관접속사의 수일치
Both Kevin and Sara are affected by the confirmation bias."
249,영어Ⅱ,YBM(한),2015,5,"Lesson 5
 Exploring
 the Universe","• to부정사의 수동태
Still, there are questions that need to be answered."
250,영어Ⅱ,YBM(한),2015,6,"Lesson 6
 Culture and
 Heritage","• 목적어로 동명사 / to부정사가 올 때 의미가 달라지는 동사
The haenyeo understand the marine life around them and try to live with it."
251,영어,비상,2015,1,Envision,"• 전치사+관계대명사
Choose a career in which you’re interested."
252,영어,비상,2015,2,Express,"• 접속사 unless
Unless your signature style is to wear colors that clash, using the color wheel will help you."
253,영어,비상,2015,3,Contribute,"• 동사+목적어+to부정사
The structure allows you to drink coffee without finding yourself holding a soaked mess."
254,영어,비상,2015,4,Explore,"• suggest+that+주어+(should)+동사원형
Suji suggested that I explore the city on my own for a few hours."
255,영어,비상,2015,5,Collaborate,"• 과거완료 수동태
They had been trapped for so long that their first priority was to get medical attention."
256,영어,비상,2015,6,Decide,"• seem to+완료부정사
Product placement seems to have been designed to give suggestions to consumers."
257,영어,비상,2015,7,Observe,"• 명사를 뒤에서 수식하는 분사구
A design developed naturally in the deep sea may soon be seen in deep space."
258,영어,비상,2015,8,Appreciate,"• 조동사+have+p.p
Kandinsky might have intended to turn a series of musical notes into visual forms."
259,영어Ⅰ,비상,2015,1,A Road to Happiness,"• 부사구 도치
Behind him were an elderly lady and a blind man."
260,영어Ⅰ,비상,2015,2,"Taste Culture, Understand Better","• 부사절에서 <주어+be동사>의 생략
Once dried, the licitars are decorated."
261,영어Ⅰ,비상,2015,3,Sports and Science Get Along,"• 관계부사
This is why players have to direct the stone's path carefully."
262,영어Ⅰ,비상,2015,4,"Together, We Can Do Better!","• to one's 감정명사
To their surprise, thousands of contributors gathered."
263,영어Ⅰ,비상,2015,5,Creativity in Action,"• 수사의문문
Who would have thought of using train tracks as a music sheet?"
264,영어Ⅰ,비상,2015,6,My Promise with Mother Nature,"• <be said(predicted)+동사원형>
Livestock is said to produce 130 times as much manure as humans."
265,영어Ⅱ,비상,2015,1,The Path Ahead,"• 미래완료 시제
By the time I finish that, I will have learned the basics of genetic engineering."
266,영어Ⅱ,비상,2015,2,Tasty History,"• with+목적어+분사(부대상황)
With demand for spices growing, many European explorers began long sea voyages."
267,영어Ⅱ,비상,2015,3,Our Blue Planet,"• 상관접속사 not A but B
The victim doesn’t act like an ant but like a zombie."
268,영어Ⅱ,비상,2015,4,"One World, Many Ways","• 현재진행형(일시적 상태)
Nika is not being honest while Manfred is being genuine."
269,영어Ⅱ,비상,2015,5,How Far Will Technology Go?,"• 미래 진행시제
More complex analyses of Big Data will be changing the way health is assessed."
270,영어Ⅱ,비상,2015,6,The Landscape of Stories,"• 간접/직접 화법(명령문과 일반 의문문의 화법)
He asked her if she could read it for him."
271,영어,동아(이),2015,1,"Hi, High School!","• 동명사의 관용적 표현
There is no use worrying about failing."
272,영어,동아(이),2015,2,Delicious World,"• 독립부정사 구문
To be honest, she had egg on her face."
273,영어,동아(이),2015,3,Helping Hands,"• 분사구문
Having dinner with my family, I heard my phone ring."
274,영어,동아(이),2015,4,Be Nature Smart,"• that절에서 should의 생략
Governments recommend that we join hands to reduce light pollution."
275,영어,동아(이),2015,5,Beg to Differ,"• one of the+최상급+복수명사
Sumi was one of the smartest students in the class."
276,영어,동아(이),2015,6,Beyond Korea,"• could have p.p
None of them could have imagined the popularity that their paintings would later enjoy."
277,영어,동아(이),2015,7,A Step Forward,"• 목적격 보어로 to부정사를 취하는 동사
Winton persuaded complete strangers to take the children in."
278,영어,동아(이),2015,8,Bon Voyage,"• if가 생략된 가정법
Had we known the Northern Lights were this beautiful, we would have planned to stay here for a few more days."
279,영어 I,동아(권),2015,1,Invitation to a Teen’s Life,"• should have p.p.
Horrified, he whispered, “I should have known that!”"
280,영어 I,동아(권),2015,2,Taste Different Cultures,"• the same ~ as 구문
It contains the same amount of protein as an egg white."
281,영어 I,동아(권),2015,3,Live and Let Live,"• 대동사 do
Read the labels of products carefully to see if they contain palm oil, and try to avoid them if they do."
282,영어 I,동아(권),2015,4,Passion for Reading,"• 「with + 목적어 +분사」 구문
“Absolutely not, sir,” Sekhar said with his voice shaking."
283,영어 I,동아(권),2015,5,Discover the Future,"• 명사를 뒤에서 꾸며 주는 과거분사구
One of the most popular IoT applications is the use of sensors built into the roads."
284,영어 I,동아(권),2015,6,National Pride,"• without 가정법
Without it, the construction of the fortress would have taken much longer."
285,영어 II,동아(권),2015,1,Health Talks,"• never too ~ to부정사 
The good news is that it is never too late to start."
286,영어 II,동아(권),2015,2,Step into the World,"• 관계부사 where 
We passed by the harbor where some kids were taking a dip."
287,영어 II,동아(권),2015,3,The Joy of Language,"• 분사구문 
Having spent a lot of time looking at the blog, I checked my mailbox."
288,영어 II,동아(권),2015,4,Delight in Art,"• 조동사 ought to 
His tiger surprising its prey ought not to be missed."
289,영어 II,동아(권),2015,5,Living Together,"• 형식주어 it 
It is evident that his commitment is paying off."
290,영어 II,동아(권),2015,6,Find Your Dream,"• 동명사의 의미상의 주어 
It contributes to our understanding of both the physical and mental aspects of aging."
291,공통영어 I,동아(이),2022,1,Life Is Experience,"• 명사를 수식하는 과거분사
I came across an interesting university major called sports medicine."
292,공통영어 I,동아(이),2022,2,Journey Through the Pages,"• 접속사 as long as
As long as Big Brother is in power, the people of Oceania will never be free."
293,공통영어 I,동아(이),2022,3,Small Things Matter,"• 명사절 접속사 whether (or not)
They tell you about the material of the item and whether it can be recycled or not."
294,공통영어 I,동아(이),2022,4,Everyday Decisions,"• 가주어 it과 to부정사의 의미상 주어
It is common for stores to use this kind of price anchoring as a way to encourage purchases."
295,영어 I,동아(박),2022,1,Best Version of Me,"• 대동사 do
If you do, your genius will come for sure."
296,영어 I,동아(박),2022,2,Money Smart,"• suggest (that)+주어+동사원형
One of our club members suggested we offer customers free refills."
297,영어 I,동아(박),2022,3,Act for Our Planet,"• 접속사+분사구문
When taken together, they play a significant role in reducing CO2."
298,영어 I,동아(박),2022,4,Digital Well-Being,"• 복합관계대명사
Whenever you go online, your activities are saved as cookies on your computer."
299,영어 I,동아(박),2022,5,Beyond Boundaries,"• 5형식 동사+목적어+to부정사
This style also enables skiers to land at a safer speed, reducing the risk of injury."
300,영어 I,동아(박),2022,6,Better Together,"• so that+주어+can
Citizen scientists collect, classify, or analyze data so that scientists can use it for research."
301,영어,천재(이),2015,1,Opening a New chapter,"• 간접의문문 
 I was not sure if I could adapt to the new environment."
302,영어,천재(이),2015,2,The Power of Creativity,"• 관계대명사 what  
What Gutenberg did was view the two devices in a new way."
303,영어,천재(이),2015,3,Living Together,"• 가정법 과거 완료 
If I had had the ability myself, I would have been quieter."
304,영어,천재(이),2015,4,The Door to the World,"• 원급 비교  
You may not know as many as native speakers."
305,영어,천재(이),2015,5,"Our Earth, Our Future, Our Choice","• 관계부사  
When the sea stars were present, the ecosystem where they lived remained properly balanced."
306,영어,천재(이),2015,6,"Enjoy Art, Connect Hearts","• 도치 구문  
Little did he know that people would go to any length to connect with each other."
307,영어,천재(이),2015,7,Science in Our Daily Lives,"• with 부대 상황  
To make a kite fly, it is sometimes necessary to run with it behind you."
308,영어,천재(이),2015,8,Korean Culture: The Mirror of Our Hearts ,"• It is/was ... that 강조구문
Even though both teams tried their best, it was my team that won."
309,영어,천재(김),2015,1,"New Start, New Goals","• ｢should have+과거분사｣  
I should have asked for help from the beginning."
310,영어,천재(김),2015,2,How “Green” Are You?,"• 과거분사의 명사 수식  
We're going to listen to three people involved in upcycling."
311,영어,천재(김),2015,3,Together We Grow,"• 뒤에 -ing가 오는 표현  
It was no use calling her at home."
312,영어,천재(김),2015,4,Speak to Be Heard,"• 계속적 용법의 관계대명사  
Credibility comes from reliable sources, which include the results of recent studies."
313,영어,천재(김),2015,5,For a Better World,"• ｢with+목적어+분사｣  
I started reading the book with my heart beating very fast."
314,영어,천재(김),2015,6,Pack Up and Go,"• ｢as if+주어+과거동사｣  
I felt as if I were in Giant Land in Gulliver's Travels."
315,영어,천재(김),2015,7,Beyond Earth,"• What ... is ~.  
What I have to do is sweep them off every few days."
316,영어,천재(김),2015,8,Korean Culture Rediscovered,"• without을 이용한 가정법 과거완료  
Without these strict rules, the Sillok could not have gained credibility."
317,영어Ⅰ,천재(이),2015,1,"My Journey, My Life","• 분사구문
Reading his books, I found myself fascinated by his interesting stories."
318,영어Ⅰ,천재(이),2015,2, Art Around Us,"• 「It is/was … that」 강조
It was around the turn of the 20th century that Rousseau's paintings began to attract some young artists."
319,영어Ⅰ,천재(이),2015,3,Toward a Better Environment,"• 「with+명사+분사」
With the mixture growing in the mold, the mushroom packaging takes the shape of the mold."
320,영어Ⅰ,천재(이),2015,4, Living Together,"• 「so that ~ can/could ...」
The organization distributes the food to shelters so that they can feed the hungry."
321,영어Ⅰ,천재(이),2015,5,Culture as a Mirror of Our Lives,"• 관계대명사 계속적 용법
They replaced it with marble, which is the same material as the original stone."
322,영어Ⅰ,천재(이),2015,6,"Technology, What Defines Us as Humans","• 도치
As I have evolved, so has my understanding of the Three Laws."
323,영어 II,천재(이),2015,1,My School Days,"• 「의문사+to부정사」
During lunch break, we discussed whom to thank."
324,영어 II,천재(이),2015,2,Discover Cultures Around the World,"• 관계부사
That is why Ifrane is often referred to as ""Morocco's Switzerland."""
325,영어 II,천재(이),2015,3,Future of Money,"• 동명사의 관용적 표현
She had trouble following my instructions."
326,영어 II,천재(이),2015,4,"Bring Literature
into Your Life","• 접속사 if
He wondered if he should take back the shard, which the emissary had placed carefully on the table."
327,영어 II,천재(이),2015,5,ICT in Our Lives,"• 접속사 while
The amount of food produced can be maximized, while the impact on the environment can be minimized."
328,영어 II,천재(이),2015,6,"Reach Beyond
Ourselves","• 병렬 구조
The time has now come for the nation to turn a new page in Australia's history by righting the wrongs and so moving forward."
