,example_english,example_korean
595,She quickly can recover her lost toy now.,그녀는 지금 잃어버린 장난감을 빨리 되찾아올 수 있어요.
596,The child will recover quickly from a cold.,아이가 감기에서 빨리 회복해요.
597,A shiny mirror can reflect our smiling faces.,반짝이는 거울은 우리 웃는 얼굴을 비추어요.
598,My window reflects bright sunlight and deep thoughts.,내 창문은 밝은 햇빛과 깊은 생각을 반사해요.
599,The clear water always reflects the blue sky.,맑은 물이 항상 파란 하늘을 반영해요.
600,The region is safe and fun to explore.,그 지역은 안전하고 탐험하기 재미있어요.
601,The doctor carefully checked my region for pain.,의사가 내 부위를 조심스럽게 확인했어요.
602,He wakes up at a regular time daily.,그는 매일 규칙적인 시간에 일어나요.
603,My brother always wears a regular blue T-shirt.,내 남동생은 항상 평범한 파란 티셔츠를 입어요.
604,She felt relief when her caring parent smiled.,그녀는 부모님의 따뜻한 미소에 안도했어요.
605,The organization gave quick relief to the victims.,단체는 피해자들에게 빠른 구호를 주었어요.
606,The nurse begins her relief shift at night.,간호사는 밤에 교대 근무를 시작해요.
607,A cool breeze brought me great relief today.,시원한 바람이 오늘 나에게 큰 경감을 줬어요.
608,Kind teachers require students to read every day.,친절한 선생님들이 학생들에게 매일 책 읽기를 요구해요.
609,Some difficult tasks require proper tools to succeed.,어려운 작업은 적절한 도구를 필요로 해요.
610,I always reserve a table for my lunch.,나는 항상 내 점심을 위해 테이블을 예약해요.
611,I always reserve a seat for my friend.,나는 항상 친구를 위해 자리를 남겨두어요.
612,We always keep a small reserve of water.,우리는 언제나 작은 비축물을 가지고 있어요.
613,Emma uses her reserve when making safe choices.,엠마는 안전한 선택할 때 신중함을 보여요.
614,Many animals live here in a reserve park.,많은 동물들이 이 보호구역에서 살아요.
615,They always try to resist unfair school rules.,그들은 항상 불공평한 학교 규칙에 대항해요.
616,My father will retire very soon next year.,아빠는 내년에 아주 빨리 퇴직해요.
617,My dear father can retire soon next year.,저의 소중한 아버지는 내년에 곧 은퇴하실 거예요.
618,A sneaky thief may rob a small shop.,수상한 도둑이 작은 가게를 훔칠 수 있어요.
619,The bright rubber ball bounces on the floor.,밝은 고무 공이 바닥에서 튀어요.
620,My monthly salary is always enough for food.,제 월급은 항상 음식 사기에 충분해요.
621,Little kids scale the steep hill very fast.,작은 아이들이 가파른 언덕을 아주 빨리 올라요.
622,I use a small scale to weigh apples.,저는 작은 저울로 사과를 잴 수 있어요.
623,The scale on the ruler is very clear.,자에 있는 눈금은 매우 명확해요.
624,I used the scale to check my weight.,나는 내 체중을 확인하려고 체중계를 사용했어요.
625,The fish's scale is very small and bright.,물고기의 비늘은 매우 작고 반짝거려요.
626,This scale is a measure of our score.,이 척도는 우리 점수를 평가하는 기준이에요.
627,I learn the musical scale with my teacher.,저는 선생님과 함께 음계를 배워요.
628,The teacher draws a section on the board.,선생님이 칠판에 구역을 그리세요.
629,The library has one small section for reading.,도서관에는 독서를 위한 작은 부분이 있어요.
630,I always seek extra help from my teacher.,나는 항상 추가 도움을 선생님께 구해요.
631,I always seek kind help from my teachers.,저는 항상 선생님께 좋은 도움을 구해요.
632,Kids seek lost toys under the big desk.,아이들은 큰 책상 아래에서 잃어버린 장난감을 찾고 있어요.
633,Her shock hair looks very wild and messy.,그녀의 헝클어진 머리카락이 아주 멋있어요.
634,The news suddenly gave me a big shock.,뉴스가 갑자기 나에게 큰 충격을 줬어요.
635,The beautiful bird sits near the sandy shore.,예쁜 새가 모래 물가에 앉아 있어요.
636,We walked along the sandy shore at dawn.,우리는 새벽에 모래 기슭을 걸었어요.
637,This significant day brightly shapes our happy future.,이 상당한 날이 우리 행복한 미래를 밝게 만드어요.
638,Homework plays a very significant role in learning.,숙제는 학습에 아주 중요한 역할을 해요.
639,This event is very significant for our future.,이 행사는 우리 미래에 매우 의미 있어요.
640,My backpack is slight and easy to carry.,내 책가방은 가볍고 들기 쉬워요.
641,There is a slight breeze in the park.,공원에 약간의 산들바람이 있어요.
642,I sort all my toys every single day.,나는 모든 장난감을 매일 분류해요.
643,My new collection holds one sort of coin.,내 새 수집품에는 한 종류의 동전이 있어요.
644,Music can heal the soul on rainy days.,음악은 언제나 비오는 날 영혼을 아주 따뜻하게 치유해요.
645,I spare my toys to my best friend.,나는 장난감을 가장 친한 친구에게 나눠줘요.
646,I can spare extra time for my homework.,나는 숙제를 위해 추가 시간을 할애할 수 있어요.
647,I always spare my friend any upset moments.,나는 항상 내 친구가 기분 나쁜 순간을 겪지 않도록 해요.
648,The hero quickly spared the soldier from dying.,영웅은 빠르게 병사가 죽음을 피하게 했어요.
649,I always spare water by turning off taps.,나는 수도꼭지를 잠가 물을 아껴요.
650,I have a spare pencil in my desk.,내 책상에 예비 연필이 있어요.
651,Our school follows a high standard for teaching.,우리 학교는 높은 표준으로 가르쳐요.
652,This standard school exam is very easy today.,이 표본의 학교 시험은 아주 쉬워요.
653,I stare at the clear lake every morning.,나는 매일 아침 맑은 호수를 응시해요.
654,We use a simple strategy in our class.,우리는 우리 수업에서 간단한 전략을 사용해요.
655,The team struggles hard to fight and win.,그 팀은 싸우고 이기려고 애써요.
656,Our daily struggle always inspires great team spirit.,우리의 매일 투쟁은 항상 멋진 팀 정신을 만들어요.
657,A small struggle always helps us grow stronger.,작은 어려움은 우리를 항상 강하게 만들어줘요.
658,Her opinion about music at times is subjective.,그녀의 음악에 관한 의견은 때때로 주관적이에요.
659,I computed the sum of all test scores.,나는 모든 시험 점수의 합계를 계산했어요.
660,The sum of numbers is fun to calculate.,숫자들의 계산은 재미있어요.
661,The teacher gave a short summary of lesson.,선생님께서 수업의 짧은 요약을 주셨어요.
662,Big trees always surround our beautiful school playground.,큰 나무가 우리 아름다운 학교 운동장을 둘러싸요.
663,Many big ideas always surround our main lesson.,많은 큰 아이디어가 항상 우리 주요 수업과 연관되어 있어요.
664,The little boy sweeps the kitchen floor always.,작은 소년은 항상 부엌 바닥을 쓸어요.
665,My brother will sweep the dusty living room.,제 동생이 먼지가 많은 거실을 휩쓸어요.
666,Her sweep of the broom looked very smooth.,그녀의 빗자루 휘두름이 매우 부드러워요.
667,I accidentally stubbed my toe on a rock.,나는 실수로 바위에 발가락을 찧었어요.
668,I always transfer from bus to train daily.,나는 항상 버스에서 기차로 갈아타요.
669,I transfer my toys to a new box.,나는 내 장난감을 새 상자로 옮겨요.
670,The principal will easily transfer Mr. Kim today.,교장님이 김 선생님을 오늘 쉽게 전근시키세요.
671,I transfer my files to a new folder.,내 파일을 새 폴더로 옮겨요.
672,My friend will transfer to a new school.,내 친구는 새 학교로 전학을 가요.
673,I will transfer money to my friend today.,오늘 친구에게 돈을 이체할게요.
674,Please transfer my phone call to my friend.,제 전화를 제 친구에게 돌려주세요.
675,Trucks transport heavy cargo between cities every day.,트럭은 도시 사이에서 무거운 화물을 수송해요.
676,Parents quickly transport children to school every morning.,부모님이 아이들을 매일 아침 학교로 이동시키세요.
677,"Fast cars, trains and ships are common transport.","빠른 자동차, 기차와 배는 일반적인 운송수단이에요."
678,We trap tiny bugs in our glass container.,우리는 작은 벌레를 우리 유리 용기에 가둬요.
679,Kids trap autumn leaves in one big pile.,어린이들이 가을 잎을 한 큰 더미로 모아 두어요.
680,A smart trap caught one tiny rabbit today.,스마트한 덫이 오늘 한 마리 작은 토끼를 잡았어요.
681,Children always unite blocks to build tall towers.,아이들이 항상 블록들을 결합하여 높은 탑을 만들어요.
682,The gentle river flows through the green valley.,부드러운 강이 초록 골짜기를 지나가요.
683,A small river runs through a deep valley.,작은 강이 깊은 계곡을 지나가요.
684,Prices often vary among items in our store.,우리 상점에서 가격이 종종 달라요.
685,The colors vary widely in many bright ways.,색깔들은 여러 가지 밝은 빛깔로 다양해요.
686,She likes to vary her style each day.,그녀는 매일 스타일을 바꾸어요.
687,Chefs vary recipes to make very tasty dishes.,셰프들은 맛있는 요리를 위해 레시피를 다르게 해요.
688,The red vehicle moves slowly on the street.,빨간 차량이 매우 천천히 도로를 따라 조용히 움직여요.
689,Music is a vehicle for expressing our emotions.,음악은 우리의 감정을 표현하는 매개체예요.
690,Some people think violent acts are never good.,어떤 사람들은 폭력적인 행동은 절대 좋지 않아요.
691,The movie had violent scenes that scared kids.,영화에는 아이들을 무섭게 한 격렬한 장면이 있었어요.
692,They plan to wage war against bad enemies.,그들은 나쁜 적과 전쟁을 벌일 계획이에요.
693,My father earns a fair wage every day.,우리 아빠는 매일 적당한 임금을 받아요.
694,The car accident happened on a busy road.,자동차 사고는 바쁜 길에서 일어났어요.
695,I happily met a new friend by accident.,나는 우연히 새로운 친구를 만났어요.
696,I open an account at my local bank.,저는 동네 은행에서 계좌를 열어요.
697,My email account helps me send fun messages.,내 이메일 계정이 재미있는 메시지를 보내요.
698,He gave a great account of his day.,그는 그의 하루에 대한 좋은 설명을 했어요.
699,We had a great adventure in the park.,우리는 공원에서 멋진 모험을 했어요.
700,My teacher gives me good advice every day.,제 선생님께서 매일 좋은 조언을 주셔요.
701,The aid clearly helped many families in winter.,그 도움은 분명 겨울에 많은 가족을 도왔어요.
702,We often go to the airport by bus.,우리는 자주 버스로 공항에 가요.
703,The ambulance quickly rushed to save the child.,구급차가 빠르게 달려와서 아이를 구했어요.
704,I share small secrets among my best friends.,나는 가장 친한 친구들 중에 작은 비밀을 나눠요.
705,The kind angel always looked after the children.,친절한 천사가 항상 아이들을 돌봤어요.
706,My bicycle is kept far apart from others.,내 자전거는 다른 것들과 멀리 떨어져 있어요.
707,The cat appears to be very happy today.,고양이가 오늘 매우 행복해 보여요.
708,Bright stars quickly appear in the dark sky.,밝은 별들이 어두운 하늘에 빠르게 나타나요요.
709,My teacher calmly appears in our class today.,오늘 우리 반에 선생님이 평온하게 나타나세요.
710,My cat is asleep on the soft bed.,내 고양이는 부드러운 침대 위에 잠들어 있어요.
711,The teacher pays attention to each new student.,선생님은 새로운 학생에게 주의를 기울여요.
712,Pay attention during the quiet lesson in school.,학교에서 조용한 수업 시간에 집중해요.
713,I always show attention to my favorite book.,나는 항상 좋아하는 책에 관심을 보여요.
714,She shows a kind attitude every school day.,그녀는 매일 친절한 태도를 보여요.
715,Her positive attitude suddenly changed her school environment.,그녀의 긍정적 태도가 학교 환경을 갑자기 바꿨어요.
716,My fan now works with automatic speed control.,내 선풍기는 이제 자동적인 속도 조절로 작동해요.
717,I always avoid heavy traffic on busy weekends.,나는 항상 바쁜 주말에 복잡한 교통을 피해요.
718,We always avoid noisy crowds at our school.,우리는 매우 항상 우리 작은 학교에서 시끄러운 무리를 피해요.
719,The teacher awards a prize to my friend.,선생님께서 제 친구에게 상을 수여해요.
720,The little cat slept beneath the warm sun.,작은 고양이가 따뜻한 햇빛 아래에 잤어요.
721,My blue bin holds my bright red toys.,내 파란 상자에 나의 밝은 빨간 장난감이 들어있어요.
722,Please throw your trash into the bin now.,쓰레기를 지금 쓰레기통에 버려 주세요.
723,The strong black coffee taste is bitter today.,오늘 강한 검은 커피 맛이 쓴 맛이에요.
724,The bitter argument lasted for a long time.,격렬한 언쟁이 오랫동안 계속되었어요.
725,She always felt bitter when her friend lied.,그녀는 친구가 거짓말했을 때 억울했어요.
726,My bitter medicine tastes very unpleasant every day.,내 쓴 약은 매일 매우 불쾌해요.
727,Fresh lemons very often taste bitter when unripe.,신선한 레몬은 자주 익지 않으면 쓰라리요.
728,The grapefruit is bitter and unpleasant in taste.,자몽은 맛이 쓰고 불쾌해요.
729,The kind doctor examines my breast with care.,친절한 의사가 제 가슴을 조심히 살펴봐요.
730,He must breathe deeply during the school lesson.,그는 학교 수업 중에 깊게 호흡해야 해요.
731,Soft wind can breathe fresh life around us.,부드러운 바람이 우리 주위에 신선한 생기를 불어넣어요.
732,The old museum shows art from one century.,옛 박물관은 한 세기의 예술을 보여요.
733,Our respected chairman organizes a fun school meeting.,우리의 존경받는 회장이 재미있는 학교 회의를 조직해요.
734,I always challenge the strict rule in class.,나는 항상 교실에서 엄격한 규칙에 이의를 제기해요.
735,Solving hard math problems is a real challenge.,어려운 수학 문제를 푸는 것은 정말 난제가에요.
736,A cartoon character always shows very kind personality.,만화 속 인물은 항상 매우 친절한 성격을 보여요.
737,The funny cartoon shows one brave main character.,재미있는 만화는 용감한 주인공을 보여줘요.
738,Every character is a basic part of writing.,모든 문자는 글쓰기에서 기본 단위에요.
739,Her kind character always shows a friendly trait.,그녀의 친절한 특징이 항상 보여요.
740,Civil societies create lasting peace and modern culture.,문명의 사회들은 오래가는 평화와 현대 문화를 만들어요.
741,The civil community always works for public improvement.,민간 공동체는 항상 공공 발전을 위해 일해요.
742,They coin many funny words during English class.,그들은 영어 시간에 재미있는 단어를 만들어요.
743,The national mint coins shiny coins every morning.,국립 주화 공장에서 매일 반짝이는 동전을 주조해요.
744,I found one coin under the red bench.,나는 빨간 벤치 밑에서 동전을 찾았어요.
745,Kids always cheer loudly at our common park.,아이들이 항상 우리의 넓은 공유 공원에서 크게 웃어요.
746,The school has a common uniform for everyone.,학교는 모든 사람을 위한 공통의 교복이 있어요.
747,This dog is a very common pet today.,이 강아지는 오늘 아주 보통의 애완동물이에요.
748,It is common for dogs to run fast.,개들이 빨리 달리는 것은 흔해요.
749,Our community in town always supports each other.,우리 공동체는 늘 서로를 도와줘요.
750,Our small community helps many friends every day.,우리 작은 지역 사회는 많은 친구들을 매일 도와줘요.
751,We connect bridges to many cities every day.,우리는 많은 도시와 다리를 연결해요.
752,The constant rain always makes wet puddles outside.,끊임없는 비가 항상 밖에 젖은 물웅덩이를 만들어요.
753,The constant sound of rain calms my mind.,비의 일정한 소리가 내 마음을 진정시켜요.
754,The table of contents tells the main content.,목차가 주요 내용을 알려줘요.
755,Our class reads a book with good content.,우리 반은 좋은 내용이 있는 책을 읽어요.
756,I feel content with my yummy school lunch.,나는 내 맛있는 학교 점심에 만족해요.
757,The current flows fast near the small island.,작은 섬 근처에서 해류가 빠르게 흘러요.
758,The current in wires makes a bright light.,전선 속 전류가 밝은 불빛을 만들어요.
759,My current book is fun to read daily.,내 현재 책은 매일 읽기 재밌어요.
760,Very heavy rain may damage our school building.,매우 무거운 비가 우리 학교 건물을 손상시킬 수 있어요.
761,The storm caused big damage to our roof.,폭풍이 우리 지붕에 큰 피해를 줬어요.
762,My teacher direct us when we study math.,선생님이 우리가 수학 공부할 때 명령해요.
763,They direct their boat toward the small island.,그들은 배를 작은 섬으로 향해요.
764,Please direct the team towards the correct path.,팀을 올바른 길로 방향 짓어요.
765,She will kindly direct us to the park.,그녀가 우리를 공원으로 안내해 줄 거예요.
766,The teacher direct the school play every day.,우리 선생님이 매일 학교 연극을 아주 잘 감독해요.
767,My dad gave a very direct answer today.,우리 아빠는 오늘 매우 직접적인 대답을 했어요.
768,The science discipline is really fun to study.,과학 학문은 공부하기 정말 재미있어요.
769,Sport and study build discipline for every student.,스포츠와 공부는 모든 학생에게 훈육을 길러줘요.
770,Every student shows discipline in our classroom today.,모든 학생은 오늘 우리 교실에서 규율을 지켜요.
771,He shows discipline by staying calm during class.,그는 수업 시간에 절제력을 보여요.
772,My friend suddenly expressed a strong emotion today.,친구가 갑자기 강한 감정을 표현했어요.
773,I will empty the small box after lunch.,나는 점심 후에 작은 상자를 비울 거예요.
774,My notebook is empty so I draw pictures.,내 공책은 텅 비어서 그림을 그려요.
775,They exhaust all their energy running too fast.,그들은 너무 빨리 달려서 다 써버려요.
776,Long walks always exhaust people on hot days.,긴 산책은 더운 날에 사람들을 지치게 해요.
777,The car has a very long exhaust pipe.,자동차는 매우 긴 배기관을 가지고 있어요.
778,The new car's exhaust releases harmful gases daily.,새 차의 배기가스는 해로운 가스를 매일 배출해요.
779,"Today, the science class did a simple experiment.","오늘, 과학 수업에서 간단한 실험을 했어요."
780,Bright light exposes secret marks on the wall.,밝은 빛은 벽의 비밀 표시를 노출시켜요.
781,The window will expose our room to sunlight.,창문은 우리 방을 햇빛에 노출할 거예요.
782,Kind teachers expose students to creative art classes.,친절한 선생님들은 학생들이 창의적인 예술 수업을 경험하게 하세요.
783,The brave reporter tends to expose big lies.,용감한 기자가 큰 거짓말을 폭로해요.
784,I always express my ideas in art class.,저는 항상 미술 수업에서 제 생각을 표현해요.
785,I used express to deliver my birthday gift.,나는 생일 선물을 특급 배송으로 보냈어요.
786,The express train runs very fast every day.,급행 열차는 매일 매우 빨리 달려요.
787,Teamwork is a factor for a good day.,팀워크는 좋은 하루의 요인이에요.
788,My fantastic friend always wears a bright hat.,내 멋진 친구는 항상 밝은 모자를 써요.
789,The book features many cute animals on pages.,이 책은 많은 귀여운 동물을 대서특필해요.
790,The museum will feature modern art on display.,박물관은 현대 미술을 전시할 거예요.
791,Many popular cartoons always feature cute animal characters.,많은 인기 만화는 항상 귀여운 동물 캐릭터를 등장시켜요.
792,This book features a colorful picture of animals.,이 책은 특별히 동물들의 화려한 사진을 포함해요.
793,Our teacher features science experiments in each lesson.,우리 선생님께서는 각 수업에서 과학 실험을 특별하게 다루어요.
794,We feature our school garden in our book.,우리 학교 정원을 특징으로 삼아요.
795,Her bright features give her a kind look.,그녀의 밝은 이목구비가 친절한 인상을 줘요.
796,A TV feature explains unusual people in town.,TV 특집은 동네의 특별한 사람들을 설명해요.
797,The bus fee is always very low here.,버스 요금은 항상 매우 낮아요.
798,Leaders govern and run our friendly school well.,리더들이 친근한 학교를 통치하며 잘 운영해요.
799,Good laws govern our small town with care.,좋은 법이 우리 작은 마을을 좌우해요.
800,Reading many books can improve your English skills.,많은 책을 읽으면 영어 실력이 개선돼요.
801,I quickly solved the puzzle in an instant.,나는 퍼즐을 찰나에 금방 풀었어요.
802,I felt an instant calm after my run.,저는 달리기 후에 즉각의 평온을 느꼈어요.
803,I always eat instant noodles for my lunch.,나는 항상 인스턴트의 국수를 점심에 먹어요.
804,The teacher instructs all hardworking students during class.,선생님은 수업 중에 모든 성실한 학생들에게 지시해요.
805,The teacher will instruct young students every day.,선생님은 어린 학생들을 매일 가르칠 거예요.
806,The worker uses a simple instrument for work.,직원이 일할 때 간단한 도구를 사용해요.
807,We used an instrument as a useful tool.,우리는 유용한 도구로 악기를 사용했어요.
808,I iron my uniform before school every day.,저는 매일 학교 가기 전에 제복을 다림질해요.
809,He uses strong iron to build a robot.,그는 강한 철을 사용해 로봇을 만들어요.
810,I always use an iron for my clothes.,나는 항상 옷에 다리미를 사용해요.
811,I use a hair iron for my hair.,나는 머리에 고데기를 사용해요.
812,Please label the small boxes with red stickers.,작은 상자에 빨간 스티커로 명칭을 붙여 주세요.
813,The label on this box is very clear.,이 상자에 있는 상표가 매우 분명해요.
814,The friendly local helped me during my visit.,친절한 현지인이 내 방문 중에 도와줬어요.
815,The local bakery makes tasty bread every day.,동네 빵집은 맛있는 빵을 매일 만들어요.
816,The local park is fun for all kids.,지역 공원은 모든 아이들에게 재미있어요.
817,The doctor used a local anesthetic for relief.,의사는 우리 수술을 위해 국소 마취제를 조심히 사용했어요.
818,I always use a strong lock for safety.,나는 항상 안전을 위해 튼튼한 자물쇠를 사용해요.
819,A high grade clearly marks your hard work.,높은 성적은 여러분의 노력을 보여 주어요.
820,The new logo has a unique company mark.,새로운 로고는 독특한 특징을 가지고 있어요.
821,I got a high mark today in math.,수학에서 오늘 높은 점수를 받았어요.
822,My shoes always match the bag very well.,내 신발은 가방과 항상 아주 잘 어울려요.
823,Her hidden talent can match many great artists.,그녀의 숨겨진 재능은 많은 훌륭한 예술가들과 맞먹어요.
824,Your smile always perfectly matches my happy mood.,당신의 미소가 항상 완벽하게 제 행복한 기분에 부응해요.
825,I match puzzle pieces to make a picture.,저는 퍼즐 조각을 연결시켜서 그림을 만들어요.
826,My hat and blue coat match very well.,내 모자와 파란 코트가 아주 잘 어울려요.
827,My hat and my gloves match nicely today.,나의 모자와 장갑이 오늘 일치해요.
828,Birds match with mates in the bright spring.,새들은 밝은 봄에 짝짓기를 해요.
829,She found a good match in tennis today.,그녀는 오늘 테니스에서 좋은 맞수를 찾았어요.
830,My team will win the big match today.,우리 팀은 오늘 큰 시합에서 이길 거예요.
831,The exciting match begins at noon on Saturday.,신나는 시합은 토요일 정오에 시작해요.
832,I wear ordinary shoes every single school day.,나는 매일 보통 신발을 신어요.
833,I own a small pet dog at home.,나는 집에서 작은 애완견을 소유해요.
834,Pack your school bag completely with new books.,새 책들로 학교 가방을 가득 채워요.
835,She packs all her gifts in one box.,그녀는 모든 선물을 하나의 상자에 포장해요.
836,I always pack my school bag every morning.,나는 매일 아침 학교 가방을 싸요.
837,I always feel pain when I fall down.,나는 넘어질 때 항상 아픔을 느껴요.
838,My new shirt has a bright floral pattern.,내 새 셔츠는 밝은 무늬를 가지고 있어요.
839,My new shirt has a very cool pattern.,내 새 셔츠는 아주 멋진 양식이 있어요.
840,My pet always shows a friendly pattern daily.,내 애완동물은 늘 친근한 행동 양식을 보이고 있어요.
841,Actors perform on stage at the school show.,배우들이 학교 무대에서 공연해요.
842,The machine performs smoothly in the quiet room.,기계가 조용한 방에서 잘 돌아가요.
843,The actor will perform his funny play tonight.,배우가 오늘 재미있는 연극을 공연할 거예요.
844,Our small planet orbits around a bright star.,우리의 작은 행성은 밝은 별 주위를 돌아요.
845,Our small store makes profit every single day.,우리 작은 가게는 매일 이익을 내요.
846,The public happily enjoyed the fun school fair.,대중은 즐겁게 재미있는 학교 축제를 즐겼어요.
847,I always use a recipe to cook dinner.,나는 항상 조리법을 이용해 저녁을 요리해요.
848,We must recycle old plastic bottles every day.,우리는 매일 오래된 플라스틱 병을 재활용해야 해요.
849,Students can reduce plastic waste to save Earth.,학생들은 플라스틱 쓰레기를 줄여 지구를 구할 수 있어요.
850,I reduce my drawings to change their style.,나는 내 그림들을 다른 스타일로 바꿔요.
851,The builders often reduce the house size slowly.,건축업자들은 집의 크기를 천천히 축소해요.
852,My close relative often visits me every summer.,나의 친척이 여름마다 자주 방문해요.
853,My performance is relative to my study time.,내 성적은 내 공부 시간에 상대적이에요.
854,I always rest my back on the wall.,나는 항상 벽에 등을 기대요.
855,I will save the rest for my friend.,나는 나머지를 내 친구를 위해 남길게요.
856,The young king gently rules his peaceful country.,젊은 왕이 부드럽게 평화로운 나라를 지배해요.
857,The judge will rule this difficult case today.,판사는 이 어려운 사건을 오늘 판결할 거예요.
858,The school rule must be followed every day.,학교 규칙은 매일 따라야 해요.
859,A king uses rule to govern his lands.,왕은 멋진 통치 로 나라를 항상 평화롭게 다스려요.
860,The teacher showed a sample painting in class.,선생님은 수업에서 견본 그림을 보여주셨어요.
861,The children scream loudly when the bell rings.,아이들이 벨이 울릴 때 크게 비명을 지르어요.
862,They work very hard to secure our money.,그들은 우리 돈을 확보하기 위해 열심히 일해요.
863,I always secure my school locker each day.,저는 항상 학교 사물함을 매일 잠가요.
864,We secure our home with a strong lock.,우리는 강한 자물쇠로 집을 안전하게 지켜요.
865,My secure playground keeps us happy every day.,내 안전한 놀이터는 우리를 매일 행복하게 지켜줘요.
866,The annual festival quickly became a huge sensation.,연례 축제가 빠르게 세상을 떠들썩하게 하는 사건이 되었어요.
867,The soft breeze gives a very pleasant sensation.,부드러운 바람이 매우 기분 좋은 감각을 줘요.
868,I feel a strange sensation every single day.,나는 매일 이상한 감정을 느껴요.
869,He serves at a local hospital every day.,그는 지역 병원에서 매일 근무해요.
870,My mother will serve us delicious meals daily.,우리 어머니가 매일 맛있는 요리를 차려 주어요.
871,We serve fresh water during our lunch time.,점심 시간에 신선한 물을 제공해요.
872,Good habits always serve you well in school.,좋은 습관은 학교에서 항상 도움이 돼요.
873,The chef will serve tasty food every day.,요리사는 매일 맛있는 음식을 대접해요.
874,The pen serves as a good writing tool.,그 펜은 항상 매우 좋은 글쓰기 도구로 사용돼요.
875,He practices his serve during every tennis match.,그는 매 테니스 경기에서 서브를 연습해요.
876,Please shift the red chair to the left.,빨간 의자를 왼쪽으로 옮겨 주세요.
877,The boat will shift direction before the storm.,보트는 폭풍 전에 방향을 바꿀 거예요.
878,A shift in our view changes our actions.,우리의 시각 변화가 우리의 행동을 바꿔요.
879,The nurse works a long night shift today.,간호사는 오늘 긴 야간 교대 근무를 해요.
880,The large ship will sink in the ocean.,큰 배는 바다에서 가라앉을 거예요.
881,They skillfully sink the ball into the hole.,그들은 공을 구멍에 넣어요.
882,Her smile may sink when she is sad.,그녀의 미소는 슬플 때 약해져요.
883,The sink is always clean in our kitchen.,세면대는 우리 부엌에 항상 깨끗해요.
884,My mom washes dishes at the big sink.,우리 엄마는 큰 흡수대에서 접시를 씻어요.
885,The teacher solved an urgent situation at school.,선생님은 학교에서 긴급 상황을 해결하셨어요.
886,The milk will quickly spoil if left outside.,우유는 밖에 두면 정말 빨리 상할 수 있어요.
887,Heavy rain may spoil our fun picnic day.,많은 비가 우리 즐거운 소풍 날을 망칠 수 있어요.
888,The brave pirate takes the spoil at noon.,용감한 해적은 정오에 전리품을 가져가요.
889,I carefully spread seeds on the garden soil.,저는 정원에 씨앗을 조심히 뿌려요.
890,He spreads his blanket on the green grass.,그는 초록 잔디 위에 담요를 펴요.
891,I quickly spread red jam on fresh bread.,나는 신선한 빵에 빨간 잼을 빨리 펴요.
892,Spilled milk can quickly spread on the floor.,쏟은 우유가 빠르게 바닥에 퍼질 수 있어요.
893,I always spread butter evenly on warm bread.,나는 항상 따뜻한 빵에 버터를 골고루 발라요.
894,The rapid spread of rumors made us worry.,빠른 소문 전파가 우리를 걱정하게 만들었어요.
895,I like to use tasty spread on bread.,나는 맛있는 스프레드를 빵에 발라 먹어요.
896,The detective will spy on the criminal now.,탐정은 지금 범인을 염탐할 거예요.
897,The brave spy hides in the crowded room.,용감한 스파이가 붐비는 방에 숨어 있어요.
898,Please state your full name on the form.,양식에 성함을 명시해 주세요.
899,He will clearly state his idea in class.,그는 수업 시간에 자신의 아이디어를 명확히 진술할 거예요.
900,I state my plan clearly for the team.,나는 팀을 위해 내 계획을 명확하게 서술해요.
901,Canada is a safe state to explore today.,캐나다는 오늘 방문하기에 안전한 국가예요.
902,The state of our classroom is really clean.,우리 교실의 상태가 정말 깨끗해요.
903,We visited a state during our summer break.,우리는 여름 방학 때 미국의 주를 방문했어요.
904,The store holds a large stock of toys.,그 가게는 큰 재고를 가지고 있어요.
905,My dad always invests in stock every week.,우리 아빠는 항상 매주 주식에 투자해요.
906,Farmers lovingly keep stock on a small farm.,농부들이 작은 농장에서 가축을 사랑하며 키워요.
907,The small cat can stretch its long body.,작은 고양이는 긴 몸을 뻗어나갈 수 있어요.
908,I always stretch my arms every morning too.,나는 늘 매일 아침에 팔을 힘껏 잡아 늘여요.
909,He will stretch his arms every bright morning.,그는 매일 아침 몸을 쭉 뻗어요.
910,I always stretch after waking up every morning.,나는 항상 아침에 일어난 후에 스트레칭을 해요.
911,The boat crossed a narrow stretch of water.,보트는 좁은 해협을 건넜어요.
912,The story is just a stretch of truth.,이 이야기는 단지 진실의 과장해석이에요.
913,The blue dress will suit her very well.,파란 드레스가 그녀에게 아주 잘 맞을 거예요.
914,The red hat really suits me very much.,빨간 모자는 정말 내게 잘 맞아요.
915,This jacket really suits you very well indeed.,이 재킷은 너에게 정말 잘 어울려요.
916,He filed the suit in a court today.,그는 오늘 법원에 소송을 제기했어요.
917,I always wear a blue suit to work.,저는 항상 파란 정장을 입고 일해요.
918,The brave soldiers received a good supply shipment.,용감한 군인들이 좋은 보급품을 받았어요.
919,I suspect the big dog ate my cookie.,나는 큰 개가 내 쿠키를 먹었다고 생각해요.
920,Birds tend to always fly south in winter.,새들은 겨울에 항상 남쪽으로 날아가요.
921,My class will throw a very fun event.,우리 반은 아주 재밌는 행사를 열어요.
922,Tom will throw a ball to his friend.,톰은 공을 친구에게 던질 거예요.
923,I use tin to make a pretty lamp.,나는 양철을 사용해서 예쁜 램프를 만들어요.
924,I found a small tin on the floor.,나는 작은 깡통을 바닥에서 찾았어요.
