example_english,example_korean
I will be happy unless you call me.,네가 전화하지 않는 한 나는 행복할 거예요.
The victim was offered as a temple sacrifice.,그 제물은 사원에 바쳐졌어요.
The kind teacher immediately helped the injured victim.,친절한 선생님이 즉시 다친 피해자를 도왔어요.
The kind victim got help after the accident.,착한 피해자는 사고 후 도움을 받았어요.
The volume of the TV is really low.,TV의 음량이 정말 낮아요.
The plastic bottle holds a small water volume.,플라스틱 병은 작은 용량을 가지고 있어요.
The volume of the box takes up space.,상자의 부피는 공간을 차지해요.
I read one volume of my favorite book.,나는 좋아하는 책 한 권을 읽어요.
Parents always warn kids before crossing busy streets.,부모님은 항상 아이들에게 바쁜 길 건너기 전에 경고해요.
The red wheel spins on my old bike.,빨간 바퀴가 내 자전거에서 돌아요.
I see a wheel on a small car.,나는 작은 차에서 바퀴를 봐요.
I am not sure whether to walk home.,저는 집으로 걸어갈지 잘 모르겠어요.
She will whisper our secret to him quietly.,그녀가 그에게 우리 비밀을 속삭일 거예요.
I often whistle happily while walking to school.,나는 학교에 걸어갈 때 자주 휘파람을 불어요.
The coach always blows his whistle during practice.,코치는 항상 연습 중에 호루라기를 불어요.
He uses a cloth to wipe the floor.,그는 천으로 바닥을 닦아요.
My wipe cloth is made from pure cotton.,내 솜 천은 순수한 솜으로 만들어졌어요.
I will finish my homework within one hour.,나는 숙제를 빨리 한 시간 이내에 끝낼 거예요.
Good actions have worth in our school life.,좋은 행동은 우리 학교 생활에 가치가 있어요.
This book is really worth reading every day.,이 책은 매일 정말 읽을 가치가 있어요.
This toy is definitely worth buying for kids.,이 장난감은 확실히 살 가치가 있어요.
He might accidentally wound his sister's feelings today.,그는 오늘 실수로 여동생의 감정을 상하게 할 수 있어요.
She got a bad wound on her arm.,그녀의 팔에 나쁜 상처가 생겼어요.
The kids often yell happily when playing sports.,아이들은 운동할 때 자주 행복하게 외쳐요.
The climate in my small city is mild.,내 작은 도시의 기후는 온화해요.
We combine bright colors to create beautiful art.,우리는 밝은 색을 결합하여 멋진 그림을 만들어요.
Good communication always helps share clear ideas easily.,좋은 전달은 항상 명확한 아이디어를 쉽게 나눠요.
Good communication always makes our class work well.,좋은 의사 소통은 우리 반이 잘 돼요~요.
The new radio uses communication for clear signals.,새로운 라디오는 명확한 신호를 위한 통신을 사용해요.
Please consider my idea before the fun trip.,제발 내 생각을 즐거운 여행 전에 고려해요.
I always consider my family in every decision.,나는 항상 모든 결정에서 가족을 여기다고 생각해요.
The smart consumer always reads useful product reviews.,똑똑한 소비자는 항상 유용한 제품 리뷰를 읽어요.
The metal contracts quickly when it gets cold.,금속은 차가워질 때 빠르게 수축해요.
She might contract a cold in the winter.,그녀는 겨울에 감기에 걸릴 수 있어요.
"During exercise, my muscles contract and then relax.","운동할 때, 내 근육이 수축하고 나중에 이완해요."
I signed a new contract with my friend.,나는 친구와 함께 새로운 계약에 서명했어요.
I visited a beautiful countryside with my friends.,나는 친구들과 아름다운 시골 지역을 방문했어요.
The baby can crawl slowly on the floor.,아기가 천천히 바닥에서 기어가요.
The apple pie is very crisp and yummy.,애플 파이는 매우 바삭바삭하고 맛있어요.
I deal with my math problems every day.,나는 매일 수학 문제를 다루어요.
I signed a small deal for my class.,나는 우리 반을 위해 작은 계약을 했어요.
He can describe every colorful bird very clearly.,그는 모든 화려한 새들을 아주 분명하게 묘사할 수 있어요.
The museum provides a detailed description of history.,박물관은 역사의 자세한 묘사를 제공해요.
A healthy diet leads to a strong body.,건강한 식습관이 튼튼한 몸을 만들어 줘요.
My family always eats a healthy diet daily.,우리 가족은 항상 건강한 음식을 먹어요.
The garden soil had a bit of dirt.,우리 집 앞 작은 정원에는 흙과 먼지가 많아요.
A disadvantage can really hurt my school work.,불리한 점이 내 학교 공부를 정말 방해해요.
A vaccine helps prevent disease in many children.,예방 접종은 많은 아이들의 병을 예방해요.
His eyes display symptoms of a small cold.,그의 눈에는 작은 감기의 증상이 나타나요.
Our classroom shows a neat display of art.,우리 교실은 깔끔한 예술 표시를 보여요.
Her bright display of happy feelings was clear.,그녀의 밝은 감정 표현이 아주 분명해요.
The distance between our towns is very far.,우리 마을 사이의 거리가 아주 멀어요.
The country's strong economy grows after new plans.,국가의 강한 경제는 새로운 계획 후 성장해요.
Parents and teachers educate children well every day.,부모님과 선생님은 아이들을 매일 교육해요.
The new plan is very effective for learning.,새로운 계획은 학습에 매우 효과적이에요.
She is an effective leader in our class.,우리 반에서 그녀는 유능한 리더예요.
Our class found clear evidence in the book.,우리 반은 책에서 분명한 증거를 찾았어요.
My teacher exacts careful behavior from all students.,제 선생님은 모든 학생에게 조심스러운 태도를 강요해요.
I need the exact size for my shoes.,저는 신발의 정확한 사이즈가 필요해요.
My faith always guides me in hard times.,나의 믿음은 힘든 시간에 항상 나를 인도해요.
My parents practice faith at church every Sunday.,우리 부모님은 매주 일요일 교회에서 종교 활동을 해요.
My energy will flag in the warm afternoon.,내 에너지는 따뜻한 오후에 축 늘어질 거예요.
The red school flag waves on sports day.,빨간 학교 깃발이 운동회 날 펄럭여요.
A bright red flag waves over our school.,밝은 빨간 국기가 우리 학교 위에서 펄럭여요.
The thick fog hides many trees near roads.,짙은 안개가 도로 옆 나무들을 가려요.
I really feel fortunate to have kind friends.,난 정말 운이 좋아서 친절한 친구가 있어요.
Can you please forward this message to mom?,이 메시지를 엄마에게 전달해 주세요요.
I stepped forward slowly to open the door.,저는 천천히 앞으로 걸어가 문을 열었어요.
The new furniture fits our small room well.,새 가구가 우리 작은 방에 잘 맞아요.
My car is parked in the garage today.,내 차는 오늘 차고에 주차되어 있어요.
The general commanded his brave soldiers in battle.,장군은 용감한 병사들을 전투에서 지휘했어요.
Our class always reads a general book today.,우리 반은 항상 포괄적인 책을 읽어요.
My teacher always gives general advice every day.,우리 선생님은 항상 일반적인 조언을 해요.
She did not hesitate to help her friend.,그녀는 친구를 돕는 것을 망설이지 않았어요.
Our school will hire new teachers this summer.,우리 학교는 이번 여름에 새 선생님들을 고용할 거예요.
I can easily identify my teacher in class.,저는 교실에서 선생님을 쉽게 확인할 수 있어요.
We need to identify the small hidden object.,우리는 작은 숨은 물건을 밝혀내요.
We identify rare coins in the old box.,우리는 오래된 상자에서 희귀한 동전을 찾아요.
I ignore my phone when I study hard.,나는 공부할 때 내 핸드폰을 무시해요.
He felt very ill for many long days.,그는 병든 상태로 여러 긴 날을 보냈어요.
Your bright smile can truly impress all friends.,너의 밝은 미소가 모든 친구들에게 깊은 인상을 줄 수 있어요.
The teacher will impress all her kind students.,선생님께서 모든 친절한 학생들을 감동시키실 거예요.
My small part-time job gives me extra income.,내 작은 아르바이트가 더 많은 소득을 줘요.
I indeed finish my homework before dinner daily.,나는 정말로 매일 저녁 전에 숙제를 끝내요.
My sister is independent and cooks her meals.,내 여동생은 독립적이라서 혼자 요리해요.
Sharp objects can easily injure your little fingers.,날카로운 물건들은 네 작은 손가락에 상처를 입힐 수 있어요.
He might accidentally injure his leg during soccer.,그는 축구 도중에 실수로 부상을 입을 수 있어요.
I intend to help my good friends today.,나는 오늘 좋은 친구들을 도우려 해요.
The police carefully investigate the big crime scene.,경찰은 큰 범죄 현장을 조심스럽게 조사해요.
I will investigate the quiet park after school.,나는 방과 후 조용한 공원을 조사할 거예요.
The science project may involve many simple steps.,과학 프로젝트는 많은 간단한 단계들을 포함해요.
I always involve my best friend in games.,나는 항상 내 친한 친구를 게임에 참여시켜요.
The judge always ensures justice for all people.,판사는 항상 모두에게 사법을 보장해요.
Justice is very important for a fair society.,정의는 공정한 사회에서 매우 중요해요.
The cat happily plays on the green lawn.,고양이가 초록 잔디에서 즐겁게 놀아요.
The majority of the class likes learning math.,학급의 대다수는 수학 배우는 것을 좋아해요.
The majority of our class loves learning games.,우리 반의 다수가 게임을 좋아해요.
The brave military helped keep our town safe.,용감한 군대가 우리 마을을 지켜줬어요.
She always wore a military uniform for display.,그녀는 전시를 위해 군대의 제복을 입었어요.
His cheerful mood spreads joy throughout the room.,그의 쾌활한 기분은 방 안에 즐거움을 퍼뜨려요.
"He plays soccer, moreover his friend plays too.","그는 축구를 해요, 게다가 친구도 축구를 해요."
The running dog shows quick motion in park.,뛰는 강아지가 공원에서 빠른 움직임을 보여요.
Our class made a motion for extra playtime.,우리 반은 추가 놀이 시간을 위해 발의안을 냈어요.
She is a true native artist from Ireland.,그녀는 아일랜드의 진짜 원주민 예술가예요.
The native tribe lives happily on the island.,원주민 부족은 섬에서 행복하게 살아요.
Bad food can occasion a stomach ache sometimes.,나쁜 음식은 때때로 복통을 야기할 수 있어요.
Today is a very special occasion at school.,오늘은 학교에서 매우 특별한 때에요.
Every occasion is a good time to learn.,모든 경우는 배우기에 좋은 시간이예요.
Our class planned a grand school occasion yesterday.,우리 반은 어제 멋진 학교 행사를 계획했어요.
The occasion for my smile was your gift.,내 미소의 원인은 네 선물이었어요.
The police officer really helps children at school.,경찰관은 학교에서 아이들을 정말 도와줘요.
They sometimes pan a very bad school play.,그들은 가끔 매우 나쁜 학교 연극을 혹평해요.
I often cook soup with a big pan.,나는 큰 냄비로 자주 수프를 요리해요.
I panic when I see a big dog.,나는 큰 개를 보면 겁먹어요.
The loud school bell suddenly caused a panic.,큰 학교 종이 갑작스러운 공포를 불러일으켰어요.
His panic eyes clearly showed his big surprise.,그의 당황한 눈빛은 그의 큰 놀라움을 분명히 보여줘요.
I always add a little pepper to dinner.,저는 항상 저녁에 조금 후추를 넣어요.
I add red bell pepper to my salad.,나는 샐러드에 빨간 피망을 넣어요.
There are plenty of apples on the table.,테이블 위에 사과가 풍부해요.
The factory pollutes the nearby river and land.,공장이 가까운 강과 땅을 더럽힐 수 있어요.
I keep my privacy safe when playing online.,나는 온라인에서 사생활을 안전하게 지켜요.
His proper style is very cool every day.,그의 특유의 스타일은 매일 매우 멋져요.
You should always use proper words at school.,너는 항상 학교에서 적절한 말을 사용해야 해요.
The store always ensures quality in every product.,가게는 항상 모든 제품에서 품질을 보장해요.
Loyalty is a very good quality to show.,충성심은 보여줄 수 있는 아주 좋은 덕목이에요.
Great quality adds amazing value to our product.,좋은 품질은 우리 제품에 놀라운 가치를 더해요.
My mom gave me a quality gift today.,우리 엄마가 오늘 고급의 선물을 주셨어요.
One quarter of the cake tastes very good.,케이크의 4분의1은 매우 맛있어요.
My town quarter is a clean friendly area.,내 동네 구역은 깨끗하고 친절해요.
My toys range in color and shape too.,내 장난감은 색깔과 모양이 다양해요.
The long mountain range stands over the valley.,긴 산맥이 계곡 위에 서 있어요.
This popular store offers a very wide range.,이 인기 있는 가게는 매우 넓은 범위를 제공해요.
A beautiful bird with bright feathers is rare.,밝은 깃털을 가진 아름다운 새는 드물어요.
We enjoy eating steak cooked rare for dinner.,우리는 저녁에 스테이크를 살짝 익혀 먹어요.
I rate your work using simple grade levels.,나는 네 숙제를 간단한 등급으로 매겨요.
I always rate each homework well in class.,저는 항상 각 숙제를 잘 평가해요.
The water rate of flow is very high.,물의 흐름의 비율은 매우 높아요.
The car moves at a very fast rate.,자동차가 아주 빠른 속도로 움직여요.
The bus rate is cheap for all riders.,버스 요금은 모든 사람에게 저렴해요.
I would rather do homework than play games.,저는 게임하는 것보다 숙제하는 게 오히려 좋아요.
She is rather happy during her summer vacation.,그녀는 여름 방학 중 다소 행복해요.
This movie is rather interesting and very fun.,이 영화는 꽤 재미있고 매우 즐거워요.
Books and movies often relate to real life.,책과 영화는 실제와 관련되어요.
I always relate pictures to words in school.,나는 항상 그림을 단어와 관련 시켜요.
The apartment rent must be paid each month.,아파트 집세는 매달 납부해야 해요.
You risk falling if you run too fast.,너는 너무 빠르게 달리면 떨어질 위험에 처해요.
Walking near a cliff is a big risk.,절벽 근처를 걷는 것은 큰 위험이에요.
The small rocket flies high into the sky.,작은 로켓이 하늘로 높이 날아가요.
Our red roof shelters us from the rain.,우리의 빨간 지붕은 비로부터 우리를 보호해요.
I row my small boat across the river.,나는 작은 배를 강 건너편으로 젓어요.
There is a row of small green chairs.,작은 초록 의자들이 한 행에 놓여 있어요.
Every day I rub my kitten's soft head.,매일 나는 내 새끼 고양이의 부드러운 머리를 문질러요.
Unexpected rain can ruin our picnic plans today.,예상치 못한 비가 소풍 계획을 손상시킬 수 있어요.
Heavy rain can ruin our family picnic fun.,강한 비가 우리 가족 소풍 즐거움을 망칠 수 있어요.
The old building soon became a total ruin.,오래된 건물이 곧 완전한 붕괴가 되었어요.
My small cat will scratch the red door.,제 작은 고양이가 빨간 문을 긁을 거예요.
The small cat will scratch the door now.,작은 고양이가 지금 문을 할퀴어요.
My cat left a scratch on the sofa.,내 고양이가 소파에 긁힌 자국을 남겼어요.
I settle my cat on a cozy chair.,나는 내 고양이를 편하게 의자에 앉혀요.
They always settle issues in class every day.,그들은 항상 매일 반 문제를 해결해요.
I quickly settle my bill at the counter.,나는 카운터에서 내 계산서를 빨리 결제해요.
I finally settle into my lovely new classroom.,나는 드디어 새롭고 예쁜 교실에 자리를 잡아요.
I always settle for what I already have.,나는 항상 내가 가진 것에 안주해요.
They shade the ball under the big tree.,그들은 큰 나무 밑에 공을 감추어요.
The tree provides cool shade on hot days.,나무가 더운 날 그늘을 제공해요.
My drawing has a nice shade of gray.,내 그림에는 멋진 명암이 있어요.
She quickly shut the window before heavy rain.,그녀는 빠르게 창문을 닫았어요.
I saw a lovely sight in the park.,나는 공원에서 아름다운 광경을 보았어요.
I enjoy a lovely sight each bright morning.,저는 매일 아침 밝은 시야를 즐겨요.
I protect my sight by wearing new glasses.,나는 새 안경을 쓰며 시력을 보호해요.
The old castle is a popular sight nowadays.,오래된 성은 인기 명소예요.
The poor slave worked very long hours daily.,가난한 노예가 매일 오랜 시간 일했어요.
He will smash the ball into the goal.,그는 공을 골대로 격파할 거예요.
He will smash his toy with his hand.,그는 손으로 장난감을 세게 칠 거예요.
My toy car will smash into big blocks.,내 장난감 차가 큰 블록에 충돌할 거예요.
My father always smoke a cigarette after dinner.,우리 아버지는 항상 저녁 후에 담배를 피우세요.
My father smokes cigarettes when he is stressed.,아버지는 스트레스를 받을 때 담배를 피우세요.
They always smoke fresh fish for yummy food.,그들은 신선한 생선을 훈제로 해서 맛있는 음식을 만들어요.
Kids see smoke rising from the old chimney.,아이들이 오래된 굴뚝에서 연기를 봐요.
They always snap their fingers to the song.,그들은 항상 노래에 맞춰 딱 소리 내요.
I quickly snap a photo of my friend.,나는 친구의 사진을 빨리 찍어요.
The police officer snapped at the moving car.,경찰관이 움직이는 차에 쏘아붙였어요.
He will snap the door shut very quickly.,그는 문을 매우 빠르게 닫아요.
The small stick may suddenly snap under pressure.,작은 막대기가 압력 아래에서 갑자기 툭 부러질 수 있어요.
The brave soldier protects his country every day.,용감한 군인은 매일 나라를 지켜요.
There are many species on our green planet.,우리의 푸른 행성에 많은 종이 있어요.
She can spell every new English word correctly.,그녀는 새로운 영어 단어를 정확하게 철자해요.
The wizard quickly cast a strong magic spell.,마법사께서 빠르게 강한 주술을 시전하셨어요.
My small horse sleeps in our big stable.,내 작은 말은 우리 큰 마구간에서 잠들어요.
The school chair is stable for every student.,학교 의자는 모든 학생에게 안정되어 있어요.
I steam potatoes on a pan for dinner.,나는 냄비에서 감자를 찌어요.
The kettle on the stove produces hot steam.,가스레인지 위의 주전자가 뜨거운 김을 내뿜어요.
The old bridge is built with strong steel.,오래된 다리가 강철로 만들어졌어요.
Soft music can stir calm feelings inside us.,부드러운 음악은 우리 안에 차분한 감정을 불러일으킬 수 있어요.
I always stir my soup with a spoon.,나는 항상 숟가락으로 수프를 휘젓어요.
Music can stir our feelings every single day.,음악은 매일 우리 감정을 자극해요.
My mom will stir warm milk very gently.,엄마께서 따뜻한 우유를 아주 부드럽게 젓어요.
There was a big stir at the school.,학교에서 큰 소동이 있었어요.
I suppose my friend is very kind today.,내 친구가 오늘 매우 친절하다고 생각해요.
The large tank safely stores water and oil.,큰 저장 통은 안전하게 물과 기름을 저장해요.
The big tank moved slowly on the battlefield.,큰 탱크가 전장에서 천천히 움직였어요.
I target one goal to succeed every day.,저는 매일 한 목표를 겨냥해요.
Our new target is to score more points.,우리의 새로운 목표는 더 많은 점수를 얻어요.
My target is to learn English every day.,제 목표는 매일 영어를 배우는 거예요.
A science theory explains how stars are born.,과학 이론이 별들이 태어나는 방법을 설명해요.
I studied hard therefore I passed the exam.,열심히 공부했어요 그러므로 시험에 합격했어요.
The dark cloud clearly shows a big threat.,어두운 구름은 큰 위협을 보여요.
"The sky is very cloudy, thus it rains.","하늘이 매우 흐려서, 그러므로 비가 와요."
The tiny ant slowly carried a big leaf.,아주 작은 개미가 큰 잎을 천천히 옮겼어요.
I always toilet carefully before my school party.,나는 항상 학교 파티 전에 몸단장을 해요.
I always flush the toilet after using it.,나는 항상 사용 후 변기에 물을 내려요.
My teacher always uses a kind tone daily.,우리 선생님은 항상 친절한 말투를 사용해요.
I trace my small cat with a pencil.,나는 연필로 작은 고양이를 따라 그려요.
The little dog can trace its lost ball.,작은 강아지가 잃어버린 공을 추적할 수 있어요.
The dog left a trace on the ground.,개가 땅에 발자국을 남겼어요.
I see a trace of sugar in coffee.,커피에 아주 조금의 설탕이 있어요.
I put my delicious fruits on a tray.,나는 맛있는 과일을 쟁반 위에 놓았어요.
She can twist the red towel very slowly.,그녀는 빨간 수건을 아주 천천히 비틀어요.
The movie had an unexpected twist in plot.,그 영화는 예상 밖의 전개가 있었어요.
I have a clear vision for my goal. ,나는 내 목표를 위해 명확한 비전을 가지고 있어요.
Her clear vision always helps her see far.,그녀의 또렷한 시력이 항상 멀리 볼 수 있게 도와줘요.
My brother always shows vision when solving puzzles.,내 동생은 퍼즐을 풀 때 항상 통찰력을 보여요.
The brave soldier had a metal weapon today.,용감한 병사가 오늘 금속 무기를 가졌어요.
I will wire money quickly to my friend.,내 친구에게 돈을 빠르게 전송할게요.
I will wire money to my friend soon.,내 친구에게 곧 돈을 송금할게요.
The thin wire transmits current from the battery.,얇은 선이 배터리로부터 전류를 전달해요.
A thin wire runs along the old fence.,얇은 철사가 오래된 울타리를 따라 있어요.
The school gate has a strong wire fence.,학교 문에 강한 철조망이 있어요.
"At my work, I got a big advance.",회사에서 저는 큰 승진을 받았어요.
Tom always can quickly advance by working hard.,톰은 항상 열심히 일해서 빨리 승진할 수 있어요.
Our aim is to learn and grow daily.,우리의 목적은 매일 배우고 성장해요.
I always aim to finish my homework quickly.,저는 항상 숙제를 빨리 끝내려고 해요.
The brave knight can attack the dark dragon.,용감한 기사가 어두운 용을 공격할 수 있어요.
The soldiers defend against a powerful enemy attack.,군인들이 강한 적의 공격을 막아요.
Our team's score was average in the game.,우리 팀 점수는 경기에서 평균이었어요.
The teacher showed the average score on board.,선생님이 칠판에 평균 점수를 보여주셨어요.
The school will award medals to brave students.,학교가 용감한 학생들에게 메달을 수여해요.
He won a special award at the contest.,그는 대회에서 특별한 상을 받았어요~요
Regular daily exercise gives true benefit to health.,규칙적인 매일 운동은 건강에 이득을 줘요.
Studying hard always benefits you in every exam.,열심히 공부하면 모든 시험에서 이득을 볼 수 있어요.
My garden has a pretty bloom in spring.,내 정원에는 예쁜 꽃이 피어요.
Tiny red roses bloom in spring every day.,작은 빨간 장미는 봄에 매일 피어요.
Friends bowl carefully at the small bowling alley.,친구들이 작은 볼링장에서 조심스럽게 볼링해요.
He rolls the bowl to hit the pins.,그는 볼링공을 굴려 핀을 쓰러뜨려요.
The balloon had a sudden burst in school.,풍선은 학교에서 갑작스러운 돌발이 있었어요.
The black cat burst out of the house.,검은 고양이가 집에서 불쑥 나왔어요.
Strong winds can cause trees to fall down.,강한 바람이 나무를 넘어뜨릴 수 있어요.
This noise is the cause of our worry.,이 소음은 우리 걱정의 원인이에요.
Every single challenge helps us learn something new.,모든 도전이 우리에게 새로운 것을 배우게 해줘요.
I always challenge my friends to a game.,나는 항상 친구들에게 게임에 도전해요.
A kind smile can silently charm many people.,따뜻한 미소는 많은 사람들을 매혹할 수 있어요.
Her bright smile shows a lovely personal charm.,그녀의 밝은 미소는 아름다운 매력을 보여줘요.
Friends often chat happily during their school break.,친구들이 학교 쉬는 시간에 이야기를 나누어요.
They enjoy a light chat every single day.,그들은 매일 가벼운 잡담을 즐겨요.
My claim for the payment is now ready.,내 청구는 이제 준비되어 있어요.
The hotel clerk claims the bill for room.,호텔 직원이 객실 요금을 청구해요.
I comfort my friend when she is sad.,친구가 슬플 때 나는 위로해요.
My good friend gives me much comfort daily.,내 좋은 친구가 나에게 많은 위로를 매일 줘요.
The soft pillow always gives me great comfort.,부드러운 베개는 항상 나에게 큰 위안을 줘요.
Parents gently comfort children when they feel upset.,부모님은 아이들이 속상할 때 위로해 주어요.
This simple compare of books is very interesting.,이 간단한 비교는 매우 흥미로워요.
I always compare apples and oranges at home.,나는 집에서 사과와 오렌지를 항상 비교해요.
Please complete your drawing before school ends today.,학교 끝나기 전에 그림을 완성해요.
The small puzzle is complete with all pieces.,작은 퍼즐은 모든 조각이 모여 완성되었어요.
She always has concern for her little friends.,그녀는 항상 작은 친구들에게 걱정해요.
My dog always concerns me about its safety.,제 강아지는 제게 항상 안전에 대해 걱정하게 해요.
I share my contact with my best friend.,나는 최고의 친구와 연락을 나눠요.
I will contact my best friend after school.,나는 학교 후에 가장 친한 친구에게 연락할게요.
My father made a very smart deal today.,아버지가 오늘 아주 좋은 거래를 했어요.
We deal goods at the busy local fair.,우리는 북적이는 동네 박람회에서 물건을 거래해요.
Our class held a very fun debate today.,우리 반은 아주 재미있는 토론을 했어요.
Young students debate interesting topics during school meetings.,어린 학생들이 학교 회의에서 흥미로운 주제를 토론해요.
"Every Friday, our market offers a special discount.","매 금요일, 우리 시장은 특별 할인을 제공해요."
The shop discounts many items during our sale.,가게는 우리 세일 중에 많은 상품을 할인해요.
The museum display shows old art pieces today.,박물관 전시가 오늘 오래된 예술 작품들을 보여줘요.
They display beautiful art in the school gallery.,그들은 학교 갤러리에서 아름다운 예술을 전시해요.
He plans to escape quickly through the door.,그는 문으로 빠르게 탈출해요.
"Yesterday, the prisoner planned a very fast escape.",어제 죄수는 아주 빠른 탈출을 계획했어요.
The teacher made an estimate for our school.,선생님이 우리 학교를 위해 추정을 했어요.
I estimate that three dogs are near me.,나는 세 마리 강아지가 가까이 있다고 추정해요.
They happily exchange books during the school break.,그들은 학교 쉬는 시간에 책을 교환해요.
I will exchange my toy for a ball.,내 장난감을 공으로 교환할 거예요.
Please exit the door slowly after our class.,우리 수업 후에 문을 천천히 나가세요.
Please use the exit door when you arrive.,도착하면 출구 문을 사용해 주세요요.
I experience fun things with all my friends.,나는 모든 친구들과 즐거운 경험을 해요.
I get a good experience trying fun things.,나는 재미있는 것을 시도해서 좋은 경험을 얻어요.
The science class did one very fun experiment.,과학 수업에서 아주 재미있는 실험을 했어요.
Kids experiment with water in our science lab.,어린이들은 과학 실험실에서 물로 실험해봐요.
Our book features lovely pictures throughout many pages.,우리 책은 많은 페이지에 사랑스러운 그림을 특징으로 삼아요.
My new phone has a very special feature.,내 새 핸드폰은 아주 특색이 있어요.
My nice fellow student helped me with homework.,우리의 좋은 동료 학생이 숙제를 도와줬어요.
My fellow student always helps me learn English.,내 동료 학생이 항상 영어 배우도록 도와줘요.
The female elephant walks slowly in the zoo.,암컷 코끼리가 동물원에서 천천히 걸어요.
The female duck swims in the blue pond.,암컷 오리가 파란 연못에서 헤엄쳐요.
The class had a few kind volunteers today.,오늘 반에 소수의 착한 자원봉사자가 있었어요.
There are few apples on our small tree.,우리 작은 나무에 사과가 몇 개 있어요.
A phone function makes clear calls every time.,전화 기능은 매번 명확한 통화를 만들어요.
The old machine can function well every day.,오래된 기계는 매일 잘 기능해요.
I use glue to fix my toy. ,나는 접착제로 내 장난감을 수리해요.
I carefully glue paper pieces to make art.,나는 조심스럽게 종이 조각을 접착제로 붙여서 예술을 만들어요.
My teacher will guide us around our school.,우리 선생님이 우리 학교를 안내해요.
The friendly museum guide shows us the art.,친절한 박물관 안내인이 우리에게 예술을 보여줘요.
Cold weather can cause harm to young plants.,추운 날씨는 어린 식물에 해를 줄 수 있어요.
Loud sounds can indeed harm our delicate ears.,시끄러운 소리 가 우리 섬세한 귀를 해할 수 있어요.
He always holds honor as a true treasure.,그는 명예를 진정한 보물로 항상 여겨요.
Students always honor their kind teacher every day.,학생들은 언제나 친절한 선생님을 존경해요.
My friend gave me a big hug today.,내 친구가 오늘 나를 큰 껴안았어요요.
My teacher gives me a big warm hug.,우리 선생님이 나에게 큰 따뜻한 포옹을 해요.
They show strong hunger for learning new things.,그들은 새로운 것을 배우고 싶은 열망을 보이고 있어요.
I really hunger for more ice cream today.,나는 오늘 더 많은 아이스크림을 열망해요.
I fall from my bike and I hurt.,자전거에서 넘어지면 아파요.
My arm is hurt after the sports game.,스포츠 경기 후에 제 팔이 아파요.
My kind teacher influences my daily school life.,제 친절한 선생님은 매일 학교 생활에 영향을 끼치세요.
My family has a positive influence on me.,우리 가족은 저에게 긍정적인 영향이 있어요.
She prepared well for the job interview yesterday.,그녀는 어제 직업 면접을 잘 준비했어요.
We must interview the new student this afternoon.,우리는 오늘 오후에 새로운 학생을 면접해요.
You should not judge others without knowing facts.,사실을 모르면 남을 판단하지 마세요~요.
The brave judge listens carefully in the court.,용감한 재판관이 법정에서 조심스럽게 들어요.
The junior student studies hard in his college.,대학의 3학년 학생은 열심히 공부해요.
The junior student always studies hard every day.,대학 3학년생은 매일 열심히 공부해요.
I knock on the door with a smile.,나는 문을 미소와 함께 두드려요.
There is a soft knock at the door.,문에 부드러운 노크가 있어요.
My class has a lack of pencils today.,우리 반은 오늘 연필이 부족해요.
They often lack fresh fruits for healthy breakfast.,그들은 건강한 아침을 위해 신선한 과일이 부족해요.
I take a short leave for summer break.,나는 여름 방학에 짧은 휴가를 즐겨요.
I always leave school and my bag behind.,나는 항상 학교를 떠나고 내 가방을 두고 와요.
The teacher gives a license to use books.,선생님은 책 사용을 허용해요.
The teacher licenses students to use their laptops.,선생님께서 학생들이 노트북을 사용하도록 허용해요.
There is a limit to our play time.,우리의 놀이 시간에는 제한이 있어요.
Parents limit screen time for each young child.,부모님은 각 어린 아이의 화면 시간을 제한해요.
I always lock the door when leaving home.,나는 집을 나설 때 항상 문을 잠가요.
I lock my red bike with a lock.,나는 내 빨간 자전거를 자물쇠로 잠가요.
My major subject is both English and math.,내 전공 과목은 영어와 수학이에요.
I plan to major in English next year.,내년에 영어를 전공할 거예요.
The male lion roars very loud at night.,수컷 사자는 밤에 크게 으르렁거려요.
The male bird sings in the cool morning.,수컷 새가 시원한 아침에 노래해요.
I see a clear mark on the board.,나는 칠판에서 명확한 표시를 봐요.
Please mark your favorite page in the book.,책에서 네가 좋아하는 페이지를 표시해요.
I always smile at myself in the mirror.,저는 항상 거울에서 제 자신을 바라봐요.
The calm pond mirrors the clear blue sky.,차분한 연못이 맑은 파란 하늘을 비추어요.
I will offer her a new toy now.,지금 그녀에게 새 장난감을 제공해요.
"Today, the new store offers a special discount.","오늘, 새 상점은 특별 할인을 제공해요."
Please order your toys in a neat row.,장난감을 깔끔하게 배열해 주세요.
The friendly waiter took our order this morning.,친절한 웨이터가 오늘 아침에 주문을 받았어요.
My teacher gave an order to her class.,우리 선생님이 반에 명령을 내렸어요.
My classroom books are always in proper order.,저의 교실 책은 항상 올바른 순서에 있어요.
I order pizza when I am very hungry.,저는 매우 배고플 때 피자를 주문해요.
The teacher orders students to read a book.,선생님이 학생들에게 책을 읽으라고 명령해요.
Her overall performance was great on test day.,그녀의 종합적인 성적은 시험 날 훌륭했어요.
"Overall, I think our project turned out well.","종합적으로, 나는 우리 프로젝트가 잘 끝났다고 생각해요."
I really have my own blue water bottle.,저는 정말 제 고유한 파란 물병을 가지고 있어요.
I own a bright new blue book today.,저는 오늘 밝은 새 파란 책을 소유해요.
