fill_in_blank_quiz,korean_translation,answer,hint_eng,hint_kor
She showed a positive ___ in the face of adversity.,그녀는 역경 앞에서도 긍정적인 [[태도]]를 보였어요.,attitude,It starts with 'a'!,a로 시작하는 단어예요!
"Modern doors often operate in an ___ manner, opening without needing to be pushed.","현대의 문들은 [[자동적인]] 방식으로 작동해요, 손대지 않아도 열려요.",automatic,Rearrange these letters!: T C A U T I O A M,다음 글자들을 재배열 해보세요!: T C A U T I O A M
"In order to ___ unnecessary risks, always think before you act.","불필요한 위험을 [[피하다]] 위해, 항상 신중하게 행동하세요.",avoid,It starts with 'a'!,a로 시작하는 단어예요!
"To stay healthy, she tried to ______ junk food.","건강을 위해, 그녀는 정크푸드를 [[막]] 하려고 노력했어요.",avoid,Rearrange these letters!: D O I V A,다음 글자들을 재배열 해보세요!: D O I V A
The committee will ____ the trophy to the champion.,위원회는 챔피언에게 트로피를 [[수여]]했어요.,award,It has 5 letters!,5글자예요!
The treasure was hidden ___ the ancient castle.,보물은 오래된 성 [[아래에]] 숨겨져 있었어요.,beneath,Rearrange these letters!: E T A B H E N,다음 글자들을 재배열 해보세요!: E T A B H E N
Please put your leftover food in the ___.,점심 후에 남은 음식을 ___에 넣으세요.,bin,It has 3 letters!,3글자예요!
She threw the paper in the ___.,그녀는 종이를 [[쓰레기통]]에 버렸어요.,bin,It starts with 'b'!,b로 시작하는 단어예요!
The medicine has a ______ taste.,약은 [[쓴]] 맛이 나요.,bitter,It starts with 'b'!,b로 시작하는 단어예요!
The debate became ______ as both sides exchanged harsh words.,토론은 양측이 거친 말을 주고받으면서 [[격렬]]해졌어요.,bitter,Rearrange these letters!: T I T R E B,다음 글자들을 재배열 해보세요!: T I T R E B
"After being mistreated by his colleagues, he felt ___ about the outcome.","동료들에게 부당한 대우를 받은 후, 그는 [[억울]]했어요.",bitter,It starts with 'b'!,b로 시작하는 단어예요!
The coffee had a ___ taste after being left out too long.,커피는 너무 [[불쾌한]] 맛이 났어요.,bitter,It has 6 letters!,6글자예요!
The medicine tasted ___ and unpleasant.,그 약은 [[쓰라린]] 맛이 났어요.,bitter,It has 6 letters!,6글자예요!
The coffee tasted ______ after being left out for hours.,오랜 시간 내버려둔 커피는 [[쓰라린]] 맛이 났어요.,bitter,Rearrange these letters!: T I B T E R,다음 글자들을 재배열 해보세요!: T I B T E R
"During the routine exam, the nurse observed an abnormal lump on the patient's ___.",정기 검진 중에 간호사가 환자의 [[가슴]]에 이상한 혹을 발견했어요.,breast,It starts with 'b'!,b로 시작하는 단어예요!
"During yoga, remember to ______ in order to relax.",요가 중에는 긴장을 풀기 위해 천천히 [[호흡]]해 주세요.,breathe,It has 7 letters!,7글자예요!
The director knew how to ______ life into the script.,감독은 대본에 생기를 [[불어넣]]었어요.,breathe,Rearrange these letters!: T H E B R E A,다음 글자들을 재배열 해보세요!: T H E B R E A
The museum exhibit features artifacts spanning an entire ______.,이 박물관 전시는 지난 [[세기]]의 유물을 전시하고 있어요.,century,Rearrange these letters!: R E T U C N Y,다음 글자들을 재배열 해보세요!: R E T U C N Y
The ___ presided over the meeting with authority.,회의 참가자들은 [[회장]]이 발표하는 것을 기대했어요.,chairman,It starts with 'c'!,c로 시작하는 단어예요!
"During the debate, she ______ the opponent's argument.",토론 중에 그녀는 상대방의 주장에 [[이의를 제기]]했어요.,challenge,Rearrange these letters!: H E G C L A E L N,다음 글자들을 재배열 해보세요!: H E G C L A E L N
The new project was a difficult ___ for the engineers.,새로운 프로젝트는 엔지니어들에게 어려운 [[난제]]였어요.,challenge,Rearrange these letters!: L H A E N G C L E,다음 글자들을 재배열 해보세요!: L H A E N G C L E
"Despite the hardships, his ___ never wavered.",어려움에도 그의 [[성격]]은 결코 흔들리지 않았어요.,character,Rearrange these letters!: R A T C A E H C R,다음 글자들을 재배열 해보세요!: R A T C A E H C R
The main ___ drove the plot of the novel.,소설의 주된 [[등장인물]]이 이야기를 이끌었어요.,character,Rearrange these letters!: R A C T E H C A R,다음 글자들을 재배열 해보세요!: R A C T E H C A R
The film's ___ captivated audiences around the world.,영화의 [[문자]]가 전 세계 관객들을 사로잡았어요.,character,Rearrange these letters!: R A C T H A R E C,다음 글자들을 재배열 해보세요!: R A C T H A R E C
The product's design reflects its unique __________.,제품의 디자인은 그 제품의 독특한 [[특징]]을 반영해요.,character,Rearrange these letters!: R A A C T E H R C,다음 글자들을 재배열 해보세요!: R A A C T E H R C
"During the debate, her tone remained ___ and respectful.","토론 중, 그녀의 어조는 항상 [[문명의]]하고 존중심이 넘쳤어요.",civil,Rearrange these letters!: I V L C I,다음 글자들을 재배열 해보세요!: I V L C I
Many people engage in ___ disobedience to protest social injustice.,많은 사람들이 사회 부정을 항의하기 위해 [[시민]] 불복종에 참여해요.,civil,Rearrange these letters!: I L C I V,다음 글자들을 재배열 해보세요!: I L C I V
Linguists sometimes ___ words to describe new ideas.,언어학자들은 때때로 새로운 단어들을 [[만들]]어요.,coin,Rearrange these letters!: I N O C,다음 글자들을 재배열 해보세요!: I N O C
The mint will ___ new coins for the royal treasury.,조폐소는 왕실 재정을 위해 새로운 화폐를 [[주조]]할 거예요.,coin,It starts with 'c'!,c로 시작하는 단어예요!
He flipped a ______ to decide the outcome.,그는 결정을 내리기 위해 [[동전]]을 던졌어요.,coin,Rearrange these letters!: O I C N,다음 글자들을 재배열 해보세요!: O I C N
"On a sunny afternoon, children played freely on the ______.","화창한 오후에, 아이들은 [[공유지]]에서 자유롭게 놀았어요.",common,It has 6 letters!,6글자예요!
It is ______ for people to share similar interests.,사람들이 비슷한 관심사를 공유하는 것은 [[흔한]] 일이에요.,common,Rearrange these letters!: M O N C O M,다음 글자들을 재배열 해보세요!: M O N C O M
It is ___ for mistakes to happen during a rehearsal.,연습 중에 실수가 일어나는 것은 [[보통의]] 현상이에요.,common,It starts with 'c'!,c로 시작하는 단어예요!
It is ______ to see street vendors in the city.,도시에서 길거리 상인들을 보는 것은 [[흔한]] 일이에요.,common,It has 6 letters!,6글자예요!
The neighborhood ______ played a vital role in organizing the annual fair.,이 동네의 [[공동체]]는 매년 열리는 축제를 조직하는 데 중요한 역할을 했어요.,community,Rearrange these letters!: M U N I T Y O C M,다음 글자들을 재배열 해보세요!: M U N I T Y O C M
The ___ came together to help improve their neighborhood.,그 [[지역 사회]]는 함께 모여 이웃을 도왔어요.,community,It starts with 'c'!,c로 시작하는 단어예요!
Modern technology allows devices to ___ seamlessly via the internet.,현대 기술은 기기들이 인터넷을 통해 [[연결]]될 수 있도록 해요.,connect,Rearrange these letters!: N T E C C O N,다음 글자들을 재배열 해보세요!: N T E C C O N
The ___ hum of the air conditioner made it hard to concentrate.,에어컨의 [[끊임없는]] 소음 때문에 집중하기 어려웠어요.,constant,It starts with 'c'!,c로 시작하는 단어예요!
The doctor noticed a ___ heart rate during the entire examination.,의사는 전체 검사 동안 [[일정한]] 심박수를 관찰했어요.,constant,Rearrange these letters!: N T S T C A N O,다음 글자들을 재배열 해보세요!: N T S T C A N O
The website's ______ was updated daily with fresh news.,웹사이트의 [[내용]]은 매일 새로운 소식으로 업데이트되었어요.,content,It has 7 letters!,7글자예요!
The website's ______ was updated regularly.,이 웹사이트의 [[내용]]이 정기적으로 업데이트 되었어요.,content,It has 7 letters!,7글자예요!
"After eating a delicious meal, he felt very ______.","맛있는 식사를 한 후, 그는 매우 [[만족한]] 기분이었어요.",content,Rearrange these letters!: T O N C T E N,다음 글자들을 재배열 해보세요!: T O N C T E N
The boat was pushed off course by a strong ___.,보트는 강한 [[해류]] 때문에 진로를 벗어났어요.,current,Rearrange these letters!: T R U R E N C,다음 글자들을 재배열 해보세요!: T R U R E N C
The scientist measured the ___ in the circuit carefully.,과학자는 회로의 [[전류]]를 주의 깊게 측정했어요.,current,It has 7 letters!,7글자예요!
She checked the ___ exchange rates before traveling.,그녀는 여행 전에 ___ 환율을 확인했어요.,current,Rearrange these letters!: T R U C R E N,다음 글자들을 재배열 해보세요!: T R U C R E N
The storm severely ____ the building.,폭풍이 건물에 심각한 [[손상]]을 입혔어요.,damage,Rearrange these letters!: G A D A M E,다음 글자들을 재배열 해보세요!: G A D A M E
The heavy storm caused considerable ____ to the coastal town.,강한 폭풍은 해안도시에 심각한 [[손상]]을 입혔어요.,damage,Rearrange these letters!: G A A D M E,다음 글자들을 재배열 해보세요!: G A A D M E
The general will ___ his soldiers during the battle.,장군은 병사들에게 전투 전에 ___하라고 지시했다.,direct,Rearrange these letters!: T I R C D E,다음 글자들을 재배열 해보세요!: T I R C D E
The tour guide will ______ the group to the historical site.,가이드가 그룹을 [[향하다]] 역사적인 장소로 안내했어요.,direct,Rearrange these letters!: T I R E C D,다음 글자들을 재배열 해보세요!: T I R E C D
The coach ___ed the players during the match.,코치는 선수들을 경기 중에 [[방향]]했어요.,direct,Rearrange these letters!: I C T D R E,다음 글자들을 재배열 해보세요!: I C T D R E
The manager will ___ the staff to the conference room.,매니저는 직원들을 회의실로 [[안내]]했어요.,direct,Rearrange these letters!: T E D I R C,다음 글자들을 재배열 해보세요!: T E D I R C
"During the rehearsal, the choreographer will ______ the dancers to ensure precision.","리허설 동안, 안무가는 댄서들을 [[감독]]하여 정확한 동작을 이끌었어요.",direct,It starts with 'd'!,d로 시작하는 단어예요!
Her approach was ___ and straightforward.,그녀의 태도는 [[직접]]적인.,direct,It starts with 'd'!,d로 시작하는 단어예요!
Many students choose a ______ that matches their interests at college.,많은 학생들이 대학에서 자신의 관심사에 맞는 [[학과]]을 선택해요.,discipline,Rearrange these letters!: I L D S I P N E C I,다음 글자들을 재배열 해보세요!: I L D S I P N E C I
The coach believed that rigorous ______ was necessary for the team's improvement.,감독은 팀의 향상을 위해 엄격한 [[훈육]]이 필요하다고 믿었어요.,discipline,Rearrange these letters!: I D C L P I S I N E,다음 글자들을 재배열 해보세요!: I D C L P I S I N E
The school's ______ helped maintain order among the students.,학교의 [[규율]]은 학생들 사이의 질서를 유지하는 데 도움을 주었어요.,discipline,Rearrange these letters!: C I D I L P I N E S,다음 글자들을 재배열 해보세요!: C I D I L P I N E S
It takes great ______ to master any skill.,어떤 기술을 연마하는 데는 엄청난 [[절제력]]이 필요해요.,discipline,Rearrange these letters!: I N D C L I S E P I,다음 글자들을 재배열 해보세요!: I N D C L I S E P I
"During the movie, her ______ was clearly visible on her face.","영화 도중, 그녀의 ______이 얼굴에 드러났어요.",emotion,"Rearrange these letters!: T, O, N, I, E, M, O","다음 글자들을 재배열 해보세요!: T, O, N, I, E, M, O"
"Before refilling your water bottle, please ___ it.",물병을 다시 채우기 전에 [[비우]] 하세요.,empty,It starts with 'e'!,e로 시작하는 단어예요!
The room was ___ after the party.,"파티 후, 방이 ___ 상태였어요.",empty,Rearrange these letters!: T Y E M P,다음 글자들을 재배열 해보세요!: T Y E M P
The strenuous training sessions can ___ the athletes' stamina.,그 힘든 트레이닝 세션들은 운동선수들의 체력을 [[_____]] 빠르게 한다.,exhaust,Rearrange these letters!: T X A U S E,다음 글자들을 재배열 해보세요!: T X A U S E
The long hours of travel can ______ the passengers.,긴 여행 시간은 승객들을 [[지치게 하다]].,exhaust,Rearrange these letters!: T A S E U X H,다음 글자들을 재배열 해보세요!: T A S E U X H
The mechanic inspected the car's ______ to ensure proper functioning.,정비사는 자동차의 [[배기관]]을 점검하여 기능이 제대로 작동하는지 확인했어요.,exhaust,Rearrange these letters!: S X E T U H A,다음 글자들을 재배열 해보세요!: S X E T U H A
The mechanic inspected the car's ___ to fix the emission issue.,정비사는 자동차의 [[배기가스]]를 점검하여 배출 문제를 해결했어요.,exhaust,It has 7 letters!,7글자예요!
The scientist conducted an ___ to test his hypothesis.,과학자는 자신의 가설을 시험하기 위해 [[실험]]을 수행했어요.,experiment,Rearrange these letters!: X E R P M E I T N E,다음 글자들을 재배열 해보세요!: X E R P M E I T N E
The investigative journalist decided to ______ the scandal behind the high-rise building.,수사 기자는 고층 빌딩 뒤에 숨겨진 스캔들을 [[노출]]시켰어요.,expose,Rearrange these letters!: X E O P S E,다음 글자들을 재배열 해보세요!: X E O P S E
The investigative report aims to ______ the hidden corruption within the organization.,그 탐사 보도는 조직 내의 숨겨진 부패를 [[노출]]하려고 해요.,expose,It has 6 letters!,6글자예요!
Traveling abroad can ___ you to different cultures.,외국으로 여행을 가면 당신이 새로운 문화를 [[경험]]할 수 있어요.,expose,It starts with 'e'!,e로 시작하는 단어예요!
The journalist tried to ______ the corruption uncovered by the investigation.,그 기자는 부패를 [[폭로]]했다.,expose,Rearrange these letters!: O E X P E S,다음 글자들을 재배열 해보세요!: O E X P E S
"During the meeting, she tried to ______ her ideas effectively.",회의 중에 그녀는 자신의 아이디어를 [[표현]]하려고 노력했어요.,express,It has 7 letters!,7글자예요!
The company guarantees ___ shipping for your orders.,회사는 고객의 주문을 위해 ___ 배송을 보장해요.,express,It has 7 letters!,7글자예요!
I took the ___ train to reach my destination quickly.,나는 목적지에 빨리 도착하기 위해 ___ 열차를 탔다.,express,Rearrange these letters!: S X E R E P S,다음 글자들을 재배열 해보세요!: S X E R E P S
The scientist recognized a crucial ______ that determined the results of the study.,과학자는 연구 결과를 결정짓는 중요한 [[요인]]을 알아챘어요.,factor,It has 6 letters!,6글자예요!
The view from the mountain was absolutely ___.,"산에서 본 풍경은 정말 [[멋진, 환상적인]].",fantastic,Rearrange these letters!: T I F A N S A C T,다음 글자들을 재배열 해보세요!: T I F A N S A C T
The latest smartphone ___ an advanced camera.,최신 스마트폰은 고급 카메라를 [[특별히 포함하다]]고 해요.,feature,It has 7 letters!,7글자예요!
The museum will ___ the ancient artifacts in its latest exhibit.,박물관은 최신 전시회에서 고대 유물을 [[전시]]했어요.,feature,It has 7 letters!,7글자예요!
The new exhibition ___ several rare artifacts.,새로운 전시회는 몇몇 희귀 유물을 ___했어요.,feature,It has 7 letters!,7글자예요!
The exhibition will ___ several rare artifacts.,전시회는 여러 희귀한 유물을 [[포함]]하고 있어요.,feature,Rearrange these letters!: E U T F R E A,다음 글자들을 재배열 해보세요!: E U T F R E A
The inventor decided to ___ the innovative gadget in his demonstration.,발명가는 시연에서 혁신적인 기기를 [[특별하게 다루]]기로 결정했어요.,feature,Rearrange these letters!: T E R F U A E,다음 글자들을 재배열 해보세요!: T E R F U A E
The advertisement will _____ the innovative design of the vehicle.,광고는 차량의 혁신적인 디자인을 [[특징]]으로 삼아요.,feature,Rearrange these letters!: E T F U A R E,다음 글자들을 재배열 해보세요!: E T F U A R E
The actor's unique ______ made him stand out in the crowd.,그 배우의 독특한 [[이목구비]]가 군중 속에서 돋보였어요.,feature,Rearrange these letters!: U T E F R A E,다음 글자들을 재배열 해보세요!: U T E F R A E
The magazine showcased a captivating ___ on modern art.,잡지는 현대 미술에 관한 [[특집]]을 실었어요.,feature,Rearrange these letters!: E U T F E R A,다음 글자들을 재배열 해보세요!: E U T F E R A
The hotel charged a ___ for room service.,호텔은 룸서비스에 추가 [[요금]]을 청구했어요.,fee,It starts with 'f'!,f로 시작하는 단어예요!
"To effectively ______, a leader must listen to the people's needs.","효과적으로 [[통치]]하기 위해, 지도자는 국민의 목소리에 귀 기울여야 한다.",govern,Rearrange these letters!: V R O N G E,다음 글자들을 재배열 해보세요!: V R O N G E
Leaders must ____ their nation with wisdom and integrity.,지도자들은 지혜와 청렴함으로 나라를 ___해야 해요.,govern,Rearrange these letters!: V R O G E N,다음 글자들을 재배열 해보세요!: V R O G E N
Regular practice can ___ your performance.,규칙적인 연습은 당신의 경기력을 [[향상시키]]다 위해 반드시 필요해요.,improve,Rearrange these letters!: P O I M E R V,다음 글자들을 재배열 해보세요!: P O I M E R V
The change happened in an ___.,변화는 [[순간]]에 일어났어요.,instant,Rearrange these letters!: N T I A T S N,다음 글자들을 재배열 해보세요!: N T I A T S N
She made an ______ decision without hesitation.,그녀는 주저하지 않고 [[즉각]]인 결정을 내렸어요.,instant,Rearrange these letters!: T A N I N T S,다음 글자들을 재배열 해보세요!: T A N I N T S
"Because of the rush, she grabbed an ___ coffee.","바쁘기 때문에, 그녀는 [[인스턴트]] 커피를 마시기로 했어요.",instant,It has 7 letters!,7글자예요!
The teacher will ___ the class on how to solve the problem.,선생님은 학생들에게 문제 풀이 방법을 [[지시]]하셨어요.,instruct,Rearrange these letters!: T N U I S C T R,다음 글자들을 재배열 해보세요!: T N U I S C T R
The teacher will ______ his students.,선생님은 학생들을 [[가르치]]어요.,instruct,Rearrange these letters!: T U C N I R S T,다음 글자들을 재배열 해보세요!: T U C N I R S T
"During the operation, the doctor handed the nurse the ___.","수술 중에 의사는 간호사에게 [[기구,도구]]를 건네줬어요.",instrument,Rearrange these letters!: N T M S I E R N T U,다음 글자들을 재배열 해보세요!: N T M S I E R N T U
The musician played his favorite ______ during the concert.,"음악가는 공연 중에 그의 가장 좋아하는 [[악기,도구]]를 연주했어요.",instrument,Rearrange these letters!: T S N I E R M T N U,다음 글자들을 재배열 해보세요!: T S N I E R M T N U
"After washing, she will ___ her clothes.",세탁 후에 그녀는 옷을 [[다림질]]할 거예요.,iron,Rearrange these letters!: R O I N,다음 글자들을 재배열 해보세요!: R O I N
The ancient statue is cast in ___.,그 고대 동상은 [[철]]로 만들어졌어요.,iron,It has 4 letters!,4글자예요!
She bought a new ___ to press her clothes.,그녀는 옷을 다림질하기 위해 새 [[다리미]]를 샀어요.,iron,Rearrange these letters!: R I O N,다음 글자들을 재배열 해보세요!: R I O N
She uses an ___ to straighten her hair.,그녀는 머리를 곧게 펴기 위해 [[고데기]]를 사용해요.,iron,Rearrange these letters!: R O I N,다음 글자들을 재배열 해보세요!: R O I N
The company will ______ every product to ensure proper identification.,회사는 각 제품에 올바른 인식을 위해 [[명칭]]을 붙여요.,label,Rearrange these letters!: B L A E L,다음 글자들을 재배열 해보세요!: B L A E L
The product's ___ clearly displays the brand information.,제품의 [[상표]]에는 브랜드 정보가 명확하게 표시되어 있어요.,label,Rearrange these letters!: B L E L A,다음 글자들을 재배열 해보세요!: B L E L A
"At the busy market, a ___ offered me directions.",바쁜 시장에서 [[현지]]인이 길을 알려줬어요.,local,Rearrange these letters!: O L A L C,다음 글자들을 재배열 해보세요!: O L A L C
The ___ market offers fresh produce every weekend.,[[지방]] 시장은 매주 신선한 농산물을 제공해요.,local,Rearrange these letters!: O L C L A,다음 글자들을 재배열 해보세요!: O L C L A
The restaurant serves delicious ___ food.,그 식당은 맛있는 [[지역]] 음식을 제공해요.,local,It starts with 'l'!,l로 시작하는 단어예요!
"During the procedure, the doctor used a ___ anesthetic to minimize systemic effects.",의사는 전신 부작용을 줄이기 위해 [[국소]] 마취제를 사용했어요.,local,It has 5 letters!,5글자예요!
The door was secured with a ___ to keep out intruders.,문은 침입자를 막기 위해 [[자물쇠]]로 보호되었어요.,lock,It has 4 letters!,4글자예요!
The red dot will ___ the spot that needs repair.,빨간 점이 수리가 필요한 자리를 [[표시]]할 거예요.,mark,Rearrange these letters!: A K M R,다음 글자들을 재배열 해보세요!: A K M R
The painting shows the artist's distinctive ___.,그 그림은 작가의 독특한 [[특징]]을 보여요.,mark,Rearrange these letters!: K R A M,다음 글자들을 재배열 해보세요!: K R A M
The teacher recorded the student's ___ for the assignment.,선생님이 학생의 [[점수]]를 기록하셨어요.,mark,Rearrange these letters!: K A M R,다음 글자들을 재배열 해보세요!: K A M R
Her shoes perfectly ______ her dress.,그녀의 신발은 원피스와 완벽하게 [[대응]]해요.,match,Rearrange these letters!: T A C M H,다음 글자들을 재배열 해보세요!: T A C M H
His skills do not ______ his competitor's skills.,그의 기술은 경쟁자의 기술과 [[맞먹다]] 않아요.,match,It has 5 letters!,5글자예요!
His skills ___ the job requirements.,그의 기술은 직무 요구사항을 [[부응]]해요.,match,Rearrange these letters!: A T M C H,다음 글자들을 재배열 해보세요!: A T M C H
"To solve the puzzle, she must ___ each clue with its answer.","퍼즐을 풀기 위해, 그녀는 각 단서를 그에 맞게 [[연결시키]]해야 해요.",match,Rearrange these letters!: T C A H M,다음 글자들을 재배열 해보세요!: T C A H M
The curtains and the cushions perfectly ___.,커튼과 쿠션이 완벽하게 [[어울리]]어요.,match,Rearrange these letters!: H T C M A,다음 글자들을 재배열 해보세요!: H T C M A
The colors of the curtains ______ the colors of the sofa.,커튼의 색이 소파의 색과 [[일치]]해요.,match,Rearrange these letters!: T A C H M,다음 글자들을 재배열 해보세요!: T A C H M
"During the game, the players try to ___ their cards to find pairs.","게임 동안, 플레이어들은 쌍을 찾기 위해 카드들을 [[짝짓기]] 해요.",match,Rearrange these letters!: T C H M A,다음 글자들을 재배열 해보세요!: T C H M A
"During the tournament, every player hopes to find their perfect ____.","토너먼트에서, 모든 선수들은 완벽한 [[맞수]]를 찾기를 바래요.",match,Rearrange these letters!: T C A H M,다음 글자들을 재배열 해보세요!: T C A H M
The exciting ___ between the rivals kept everyone on the edge of their seats.,라이벌들 간의 흥미진진한 [[시합]]은 모두를 긴장하게 만들었어요.,match,Rearrange these letters!: A T M C H,다음 글자들을 재배열 해보세요!: A T M C H
The soccer ___ was tightly contested until the final whistle.,축구 [[경기]]는 마지막 휘슬까지 치열하게 진행되었어요.,match,Rearrange these letters!: T C H A M,다음 글자들을 재배열 해보세요!: T C H A M
"The book's cover looked attractive, but its story was quite ______.","책 표지는 매력적이었지만, 내용은 상당히 [[보통의]]였어요.",ordinary,Rearrange these letters!: Y R D O I A R N,다음 글자들을 재배열 해보세요!: Y R D O I A R N
He hopes to ___ his business.,그는 자신의 사업체를 [[소유]]하고 싶어해요.,own,It has 3 letters!,3글자예요!
"Before leaving for the trip, they must ___ all their belongings into boxes.",여행을 떠나기 전에 그들은 소지품을 [[채우]] 해야 해요.,pack,Rearrange these letters!: C K A P,다음 글자들을 재배열 해보세요!: C K A P
She will ___ the products carefully for delivery.,그녀는 제품들을 조심스럽게 [[포장]]할 거예요.,pack,Rearrange these letters!: C K A P,다음 글자들을 재배열 해보세요!: C K A P
I always ___ my suitcase before a trip.,나는 여행 전에 항상 짐을 [[싸다]]요.,pack,Rearrange these letters!: C K A P,다음 글자들을 재배열 해보세요!: C K A P
"After the accident, he felt a sharp ____ in his leg.","사고 후, 그는 다리에서 날카로운 [[아픔]]을 느꼈다.",pain,Rearrange these letters!: I N P A,다음 글자들을 재배열 해보세요!: I N P A
The tailor noticed an intricate ______ all over the fabric.,재단사는 천 전체에 복잡한 [[무늬]]를 발견했어요.,pattern,Rearrange these letters!: T P T R N A E,다음 글자들을 재배열 해보세요!: T P T R N A E
The wallpaper shows a beautiful _______.,벽지에는 아름다운 [[양식]]이 그려져 있어요.,pattern,Rearrange these letters!: T E P N T A R,다음 글자들을 재배열 해보세요!: T E P N T A R
The detective noticed a recurring ___ in the suspect's behavior.,탐정은 용의자의 행동에서 반복적으로 나타나는 [[행동 양식]]을 발견했어요.,pattern,Rearrange these letters!: T N P T R A E,다음 글자들을 재배열 해보세요!: T N P T R A E
The actor will ______ on stage tonight.,배우가 오늘 밤 무대에서 [[공연]]할 거예요.,perform,It has 7 letters!,7글자예요!
"If the circuit is complete, the equipment will ______ flawlessly.","회로가 완성되면, 장비는 완벽하게 ______.",perform,Rearrange these letters!: R M P F O E R,다음 글자들을 재배열 해보세요!: R M P F O E R
The actor will ____ on the stage tonight.,배우는 오늘 밤 무대에서 [[공연]]할 거예요.,perform,It starts with 'p'!,p로 시작하는 단어예요!
The Earth is a ___ that supports life in our solar system.,지구는 우리 태양계에서 생명을 유지하는 [[행성]]이다.,planet,Rearrange these letters!: T N P A E L,다음 글자들을 재배열 해보세요!: T N P A E L
The company aimed to boost its ___ by implementing new strategies.,회사는 새로운 전략을 도입하여 [[이익]]을 올리려고 했어요.,profit,Rearrange these letters!: F I R O P T,다음 글자들을 재배열 해보세요!: F I R O P T
The ___ attended the community event with great enthusiasm.,그 [[대중]]은 지역 사회 행사에 큰 열정을 가지고 참여했어요.,public,Rearrange these letters!: B U L I C P,다음 글자들을 재배열 해보세요!: B U L I C P
I followed the ______ to bake a delightful cake.,나는 맛있는 케이크를 만들기 위해 할머니의 [[조리법]]을 따랐어요.,recipe,It has 6 letters!,6글자예요!
We should ___ our plastic bottles to help protect our environment.,우리는 환경을 보호하기 위해 플라스틱 병을 [[재활용]]해야 해요.,recycle,It has 7 letters!,7글자예요!
"To conserve energy and resources, many companies work to ___ their waste output.","에너지와 자원을 보존하기 위해, 많은 회사들이 폐기물을 [[줄이다]] 위해 노력해요.",reduce,It starts with 'r'!,r로 시작하는 단어예요!
"After receiving feedback, she decided to ____ her approach.","피드백을 받은 후, 그녀는 자신의 방식을 [[바꾸]]기로 결심했어요.",reduce,Rearrange these letters!: D E C U R E,다음 글자들을 재배열 해보세요!: D E C U R E
The company decided to ___ its operations to cut costs during the economic downturn.,회사는 경제 침체 동안 비용을 줄이기 위해 사업 운영을 [[축소]]했어요.,reduce,It has 6 letters!,6글자예요!
I received a letter from my ________ living abroad.,나는 해외에 사는 [[친척]]으로부터 편지를 받았어요.,relative,Rearrange these letters!: V E R A T I L E,다음 글자들을 재배열 해보세요!: V E R A T I L E
"In discussions, opinions can be ___, varying significantly from one perspective to another.","토론에서는 의견들이 [[상대적인]] 것으로, 관점에 따라 달라질 수 있어요.",relative,Rearrange these letters!: V E R A T I L E,다음 글자들을 재배열 해보세요!: V E R A T I L E
The ladder ___ against the wall to provide safe passage.,사다리가 벽에 [[받치]] 있어요.,rest,Rearrange these letters!: T S R E,다음 글자들을 재배열 해보세요!: T S R E
She finished the best parts of the cake and saved the ___ for later.,그녀는 케이크의 좋은 조각들을 먼저 먹고 [[나머지]]를 남겨두었어요.,rest,It starts with 'r'!,r로 시작하는 단어예요!
The king ____ the kingdom with wisdom.,그 왕은 왕국을 [[지배]]해요.,rule,It has 4 letters!,4글자예요!
The judge will ___ the case.,판사는 사건을 [[판결]]했어요.,rule,Rearrange these letters!: L U E R,다음 글자들을 재배열 해보세요!: L U E R
The teacher reminded the students to follow the ___.,선생님은 학생들에게 [[규칙]]을 따르라고 했어요.,rule,Rearrange these letters!: L E U R,다음 글자들을 재배열 해보세요!: L E U R
The king's ___ established a just system of government.,그 왕의 [[통치]]은 백성을 위한 정의로운 제도를 만들어냈어요.,rule,It has 4 letters!,4글자예요!
"During the exhibition, the designer displayed a ___ of his work.",전시회에서 디자이너는 자신의 작품의 [[견본]]을 선보였어요.,sample,Rearrange these letters!: L M E S A P,다음 글자들을 재배열 해보세요!: L M E S A P
"When he heard a sudden noise, he couldn't help but ____.","어두운 방에서 소리를 듣자, 그는 자연스럽게 [[비명]] 질 했어요.",scream,Rearrange these letters!: R A C E M S,다음 글자들을 재배열 해보세요!: R A C E M S
"After careful negotiations, they managed to ______ additional resources for the project.","면밀한 협상 끝에, 그들은 프로젝트를 위해 추가 자원을 [[얻다,확보하다]].",secure,Rearrange these letters!: E U R S C E,다음 글자들을 재배열 해보세요!: E U R S C E
The security team worked hard to ___ all entry points of the building.,경비팀은 건물의 모든 출입구를 [[확실히 하다]] 했어요.,secure,It has 6 letters!,6글자예요!
The company installed advanced security systems to ______ the building.,"회사는 첨단 보안 시스템으로 건물을 안전하게 지키다,[[보호]]하다.",secure,It starts with 's'!,s로 시작하는 단어예요!
"Before leaving, double-check that the door is ___.",나가기 전에 문이 [[안전]]한지 두 번 확인하세요.,secure,It starts with 's'!,s로 시작하는 단어예요!
The unexpected announcement became a ___ in the media.,예상치 못한 발표가 미디어에서 [[세상을 떠들썩하게 하는 사건]]이 되었어요.,sensation,Rearrange these letters!: T I N O S E S A N,다음 글자들을 재배열 해보세요!: T I N O S E S A N
He felt an unusual ______ when he entered the dark room.,그는 어두운 방에 들어섰을 때 이상한 [[감각]]을 느꼈어요.,sensation,Rearrange these letters!: T I N A S O N S E,다음 글자들을 재배열 해보세요!: T I N A S O N S E
