fill_in_blank_quiz,korean_translation,answer,hint_eng,hint_kor
Workers ___ the mountain for minerals.,일꾼들은 산에서 [[광물질을 캐다]]해요.,mine,You do this to get minerals from the ground.,땅에서 광물질을 얻기 위한 일이에요.
This bag is ___.,이 가방은 [[나의 것]]이에요.,mine,You use this word to show something belongs to you.,이 단어는 어떤 것이 당신에게 속해 있음을 나타내요.
Everyone hoped for a ___.,모두가 [[기적]]을 기다렸어요.,miracle,Something very good happens that no one thought was possible.,아무도 가능하다고 생각하지 못한 아주 좋은 일이에요.
The guide did ___ us.,가이드는 우리를 [[잘못 인도]]했어요.,mislead,It means to show someone the wrong way.,누군가를 잘못된 길로 안내하는 것을 의미해요.
He can ___ you with a smile.,그 사람은 미소로 너를 [[속이다]]할 수 있어요.,mislead,It means to trick someone.,누군가를 속이는 뜻이에요.
The dog ___ from home.,개는 집에서 [[실종]]되었어요.,miss,Used when someone or something suddenly disappears.,누군가나 무언가 갑자기 보이지 않을 때 사용해요.
I ___ my family.,나는 가족이 [[그리워]]요.,miss,It means feeling sad when someone is away.,"누군가 멀리 있을 때, 슬픈 기분이에요."
I often ___ class.,나는 수업을 [[빼먹]]었어요.,miss,It describes not attending an event.,어떤 행사에 참석하지 않았다는 뜻이에요.
I ___ my mom.,나는 [[그리워]] 엄마를.,miss,You feel sad when someone you love is away.,사랑하는 사람이 멀리 있으면 슬퍼요.
They never ___ when opportunity knocks.,그들은 기회가 오면 [[놓치]]지 않아요.,miss a chance,It means not taking a good opportunity.,좋은 기회를 잡지 않는 뜻이에요.
I don't want to ___ on fun.,나는 좋은 기회를 [[빠뜨리]]지 않아요.,miss out,What happens if you do not join a fun event?,재미있는 행사에 참여하지 않으면 어떤 일이 생길까요?
Don't ___ the party.,파티를 [[놓치]]지 마세요.,miss out,You do not experience fun when you are absent.,자리에 없으면 즐거움을 경험하지 못해요.
The keys are ___ from the table.,열쇠가 탁자에서 [[분실된]] 것 같아요.,missing,It is used when something cannot be found.,무언가를 찾지 못할 때 쓰는 말이에요.
My cat is ___.,내 고양이가 [[놓치]] 있어요.,missing,It describes when something is not found.,어떤 것이 보이지 않을 때 사용해요.
I often ___ what you said.,나는 자주 네 말을 [[오해]]해요.,mistake,It means to get something wrong by not understanding correctly.,이것은 뭔가를 잘못 이해하는 것을 의미해요.
I made a _____.,나는 [[실수]]를 했어요.,mistake,It means doing something wrong.,잘못한 일을 뜻해요.
I made a ___ in my homework.,나는 숙제에서 [[잘못]]을 했어요.,mistake,This happens when you do something wrong.,뭔가 잘못했을 때 생기는 일이에요.
They ___ my words.,그들은 내 말을 [[오해]]했어요.,misunderstand,It means you interpret something in the wrong way.,이것은 무언가를 잘못 해석하는 것을 말해요.
This is a big ___.,이것은 큰 [[오해]]예요.,misunderstanding,It is when you have a wrong idea.,어떤 일에 대해 잘못 생각할 때 쓰는 말이에요.
I always ___ for a cake.,나는 케이크 만들 때 A와 B를 [[섞]]어요.,mix A with B,You combine two items to create something new.,두 가지를 합쳐 새로운 것을 만들어요.
The ___ of water and oil is strange.,물과 기름의 [[혼합]]은 이상해요.,mixture,It means combining different things together.,여러 가지를 섞는다는 뜻이에요.
She will ___ a dress.,그녀는 드레스를 [[입어]]했어요.,model,She wears clothes to show them.,옷을 보여주는 사람이에요.
The ___ walked on the runway.,그 [[모델]]이 런웨이를 걸었어요.,model,This person shows clothes on a runway.,이 사람은 런웨이에서 옷을 보여요.
They displayed a ___ in class.,그들은 수업에서 [[모형]]을 전시했어요.,model,It is a small copy of something real.,실제와 비슷한 작은 복제품이에요.
The ___ builds detailed models.,그는 정교한 [[모형 제작자]]예요.,modeler,This person makes small copies of things.,이 사람은 큰 것의 작은 모형을 만들어요.
She pays with ___ every day.,그녀는 매일 [[돈]]으로 계산해요.,money,You use it to buy things.,물건을 사는 데 사용해요!
A ___ climbs trees.,이 [[원숭이]]가 나무를 올라요.,monkey,It is a playful animal that climbs trees.,이 동물은 장난꾸러기이며 나무를 올라요.
I saw a ______ under the bed.,나는 침대 밑에서 [[괴물]]을 봤어요.,monster,It is a scary creature in stories.,이것은 이야기 속 무서운 생명체예요.
There are 12 ___ in a year.,한 해에는 12 [[달]] 있어요.,month,It is a period in a year about 4 weeks long.,한 해를 이루는 4주 정도 기간이에요.
Look at the ___ at night.,밤하늘에는 [[달]] 빛나요.,moon,It is the bright object in the night sky.,밤하늘에 빛나는 물건이에요.
The ____ glows at night.,밤하늘에 빛나는 [[위성]]을 봐요.,moon,It is seen in the night sky.,밤하늘에서 볼 수 있는 물건이에요.
I use a ___ to clean.,나는 바닥을 [[대걸레]]로 닦아요.,mop,You use this tool to clean floors.,바닥을 닦을 때 쓰는 도구예요.
She uses a ___ to clean floors.,그녀는 바닥을 청소할 때 [[자루걸레]]를 사용해요.,mop,You use this to clean floors.,바닥 청소할 때 이것을 사용해요.
I want ___ apples.,나는 사과를 [[더 많은]] 원해요.,more,Use this word when you want extra items.,추가로 더 필요할 때 쓰는 단어예요.
I feel ______ tired.,나는 [[점점 더]] 피곤해요.,more and more,It shows a continuous increase.,계속 늘어나는 상태를 나타내요.
I want ______ one cookie.,나는 [[~이상]] 쿠키를 원해요.,more than,Use this phrase when one number is bigger than another.,한 숫자가 다른 숫자보다 클 때 써요.
I wake up in ____.,나는 [[아침]]에 일어나요.,morning,It is the start of the day.,하루의 시작을 말해요.
The ___ lives in Casablanca.,그 사람은 [[모로코 사람]]이에요.,Moroccan,It is a person from a North African country.,북쪽 아프리카의 사람을 나타내요.
I saw a ______ outdoors.,밖에서 [[모기]]를 봤어요.,mosquito,It is a small insect that flies and bites.,작은 날아다니는 벌레가 사람을 물어요.
___ people went home.,[[가장 많은]] 사람들이 집에 갔어요.,most,It shows the highest amount.,나머지보다 양이 더 많은 것을 말해요.
___ people like music.,[[대부분]] 사람들이 음악을 좋아해요.,most,This word means the larger part of a group.,전체에서 큰 부분을 뜻하는 단어예요.
I ___ watch TV.,나는 텔레비전을 [[주로]] 봐요.,mostly,It happens in nearly all cases.,거의 모든 경우에 일어나는 일을 나타내요.
"Look, a ___ near the lamp.",저기 램프 옆에 있는 [[나방]]을 봐요.,moth,This insect comes out at night near a light.,밤에 불 근처에 나타나는 곤충이에요.
My ___ is very kind.,나의 [[어머니]]는 아주 친절해요.,mother,It has 6 letters!,6글자예요!
Teachers ___ students.,선생님은 학생들에게 [[동기를 부여]]해요.,motivate,This word means to make someone feel eager to act.,이 단어는 누군가가 적극적으로 행동하도록 만드는 것을 말해요.
The police discovered his ___.,경찰은 그의 [[동기]]를 찾았어요.,motive,It explains why a person acts.,사람이 행동하는 이유예요.
He lives by his ___.,그는 [[좌우명]]을 가지고 살아요.,motto,It is a short phrase that shows your idea for life.,인생에 대한 생각을 간단하게 나타내는 문장이에요.
I ___ the mountain.,나는 산에 [[오르]]다.,mount,You do this when you climb a hill.,언덕을 오를 때 하는 행동이에요.
The bills ___ every month.,요금이 매달 [[늘]]어요.,mount,"When numbers or amounts go higher, you use it.",숫자나 양이 많아질 때 쓰는 말이에요.
He will ___ his bike.,그는 자전거에 [[올라타다]]해요.,mount,You get on something like a horse or a bike.,말이나 자전거 등에 올라탈 때 쓰는 단어예요.
The bill ___ gradually.,요금이 [[서서히 증가]]해요.,mount,It means to slowly get larger.,천천히 커진다는 뜻이에요.
We climb the ______.,우리는 [[산]]에 오른다.,mountain,It is a high place you can climb.,오를 수 있는 높은 장소예요.
We saw the ______ yesterday.,우리는 어제 [[산맥]]을 봤어요.,mountain range,It is a line of many connected mountains.,서로 연결된 여러 산들이에요.
The ___ is small.,그 [[생쥐]]는 작아요.,mouse,It is a small animal that likes cheese.,치즈를 좋아하는 작은 동물이에요.
The baby opened its ___ wide.,아기는 [[입]]을 크게 벌렸어요.,mouth,You use this to eat and talk.,음식을 먹고 말을 할 때 사용해요.
I ___ the box slowly.,나는 상자를 천천히 [[움직]]했어요.,move,What do you do when you go from one spot to another?,어디론가 갈 때 무엇을 하나요?
The movie can ___ your heart.,그 영화는 당신의 마음을 [[감동]]시켰어요.,move,It describes when a film makes you feel deep emotions.,영화가 당신의 마음에 깊은 감정을 주는 것을 말해요.
She will ___ the idea.,그녀는 그 아이디어를 [[제안]]할 거예요.,move,You propose an idea in a meeting.,회의에서 당신의 의견을 제시할 때 쓰는 말이에요.
Please ___ the chair.,의자를 [[옮기]]세요.,move,You change the place of things.,물건의 위치를 바꿔요.
They ___ to a new home.,그들은 새 집으로 [[이사]]해요.,move,What do you do when you leave your old home?,이전 집을 떠날 때 무엇을 하나요?
We ___ on our project.,우리는 프로젝트에 [[착수]]했어요.,move,You do this when you start an activity.,새로운 일을 시작할 때 하는 행동이에요.
Every ___ counts in chess.,체스에서는 [[이동]]이 중요해요.,move,It has 4 letters!,4글자예요!
Your ___ can change the game.,너의 [[조치]]가 게임을 바꿀 수 있어요.,move,It is an action taken in games.,게임에서 하는 행동이에요.
They ___ in the busy mall.,사람들이 쇼핑몰에서 [[돌아다니다]]해요.,move around,It means to go from one place to another without staying in one spot.,한 곳에 머무르지 않고 이곳저곳 간다는 뜻이에요.
Please ___ the old furniture.,옛 가구를 [[치우]]세요.,move away,It means to clear items from a spot.,어떤 장소에서 물건들을 치우는 것을 말해요.
They ___ to a new home.,그들은 새로운 집으로 [[떠나]]요.,move away,It means to leave your current place.,현재 있는 곳을 떠나는 것을 말해요.
We will ___ this building soon.,우리는 곧 이 건물에 [[이동]]할 거예요.,move into,It means you start living in a new place.,새 집에서 살기 시작하는 뜻이에요.
She was ___ by the beautiful music.,그녀는 아름다운 음악에 [[감동받은]].,moved,It describes feeling strong emotion from something special.,특별한 일에 마음이 따뜻해지는 기분이에요.
Her ___ is very graceful.,그녀의 [[움직임]]이 매우 우아해요.,movement,It is how things go from one place to another.,어떤 것이 한 곳에서 다른 곳으로 갈 때에요.
She enjoys ___ at the park.,그녀는 공원에서 [[운동]]해요.,movement,It means when your body is active.,몸이 활동할 때 하는 일이에요.
The group began a new ___.,그룹은 새로운 [[운동]]을 시작했어요.,movement,It is when people come together for change.,사람들이 변화를 위해 모이는 거예요.
The ___ in the symphony is slow.,교향곡의 [[악장]]은 느려요.,movement,"It is a part of a symphony, like a chapter.",교향곡의 한 부분이에요.
I watched a ___ last night.,나는 어젯밤에 [[영화]] 봤어요.,movie,It is something you watch on a screen for fun.,재미로 화면에서 보는 것이에요.
I don't have ___ time.,나는 시간이 [[많은]] 없어요.,much,It means a large quantity.,양이 많다는 뜻이에요.
He did not sleep ___ last night.,그는 어젯밤에 [[훨씬]] 안 잤어요.,much,It is used when one amount is far greater than another.,하나가 다른 것보다 훨씬 많을 때 쓰는 단어예요.
The road is ___.,도로가 [[진흙]]해요.,muddy,It describes something that is not clean because it has water mixed with soil.,물이 흙과 섞여서 깨끗하지 않은 것을 말해요.
The crab crawled on ______.,게는 [[갯벌]]에서 걸었어요.,mudflat,Rearrange these letters!: F M A U T D L,다음 글자들을 재배열 해보세요!: F M A U T D L
Four is a ___ of two.,네는 두의 [[배수]]예요.,multiple,It is a number obtained by multiplying another number by a whole number.,한 숫자에 정수를 곱해 얻는 숫자예요.
They have ___ kinds of fruit.,그들은 여러 종류의 [[다양한]] 과일을 가지고 있어요.,multiple,It means having many kinds or types.,여러 종류나 형태가 있다는 뜻이에요.
She bought ___ fruits.,그녀는 [[다양한]] 과일을 샀어요.,multiple,It means more than one.,하나가 아니라 여러 개라는 뜻이에요.
She will ___ the numbers.,그녀는 숫자들을 [[곱하]]해요.,multiply,You use this to add numbers repeatedly.,숫자들을 여러 번 더할 때 쓰는 단어예요.
They ____ two numbers.,그들은 두 수를 [[증가]]해요.,multiply,It shows adding numbers many times.,숫자들을 여러 번 더하는 것을 말해요.
She listens to ___ every morning.,그녀는 매일 아침 [[음악]]을 들어요.,music,It is sound you enjoy listening to.,즐겁게 들을 수 있는 소리예요.
We enjoyed a ___ on stage.,우리는 무대에서 훌륭한 [[뮤지컬]]을 봤어요.,musical,It is a show with songs and dance.,노래와 춤이 있는 공연이에요.
They play ____ instruments.,그들은 [[음악의]] 악기를 연주해요.,musical,It describes things related to songs and instruments.,노래와 악기와 관련된 것을 설명해요.
He plays a ____.,그는 [[악기]]을 연주해요.,musical instrument,You play this to create beautiful sounds.,아름다운 소리를 내기 위해 이것을 연주해요.
You ___ do it now.,너는 지금 [[반드시]] 해야 해.,must,You use this word to show something is required.,이 단어는 필수인 것을 나타낼 때 사용해요.
You ___ finish your homework.,너는 숙제를 [[해야]] 해요.,must,It shows a strong necessity.,어떤 일을 반드시 해야 할 때 쓰는 단어예요.
This book is a ___.,이 책은 [[필수품]]이에요.,must,It means something you really need.,정말 필요한 것이에요.
Teachers share a ___ about heroes.,선생님들은 영웅에 관한 [[신화]]를 이야기해요.,myth,It is a story from long ago that is not real.,오래 전부터 전해지지만 진짜가 아닌 이야기예요.
They will ___ our dog.,그들은 우리 강아지의 [[이름]] 지었어요.,name,This word is what people use to call someone.,사람들을 부를 때 쓰는 단어예요.
We ___ our new puppy.,우리는 새 강아지에게 [[이름]]했어요.,name,It is what you do when you give a title to someone.,누군가에게 부르는 이름을 정할 때 하는 행동이에요.
He earned a good ____.,그는 좋은 [[명성]]을 얻었어요.,name,It is what people say about you.,사람들이 너에 대해 말하는 것이에요.
What is your ___?,너의 [[이름]]은 무엇이에요?,name,It is what people call you.,사람들이 부르는 단어예요.
She was ___ her aunt.,그녀는 [[따서 이름]] 지었어요.,name after,You give someone the same name as a relative.,가족과 같은 이름을 주는 거예요.
I took a ___ after lunch.,나는 점심 후 [[낮잠]]을 잤어요.,nap,It's a short sleep during the day.,낮에 잠깐 자는 것이에요.
The ____ tells a story.,그 [[서술자]]가 이야기를 전해요.,narrator,This is the person who tells a story.,이 사람은 이야기를 들려줘요.
It is a ___ event.,이것은 [[전국]]인 행사예요.,national,It means something for the whole country.,이것은 나라 전체를 위한 말이에요.
The ___ flag represents our country.,[[국가의]] 깃발은 우리 나라를 나타내요.,national,It describes something connected to a country.,나라와 관련된 것을 나타내는 형용사예요.
She is ___ to that country.,그녀는 그 나라의 [[본국의]] 사람이다.,native,It describes someone born in that country.,그것은 그 나라에서 태어난 사람을 말해요.
He speaks his ___ language.,그는 자신의 [[원주민]] 언어를 사용해요.,native,It starts with 'n'!,n으로 시작하는 단어예요!
The park is ___ and calm.,공원은 [[자연]]스럽고 조용해요.,natural,It means not made by people.,사람이 만들지 않았어요.
It is ___ to feel happy.,행복을 느끼는 것은 [[당연한]]예요.,natural,It means something is normal and expected.,보통이고 예상되는 것을 뜻해요.
The park looks ___.,공원은 [[자연스러운]] 분위기예요.,natural,"It means not man-made, like a forest scene.","사람이 만든 것이 아닌, 숲처럼 자연스러운 모습을 말해요."
He is a ___ artist.,그는 [[천부적인]] 예술가에요.,natural,It describes someone born with talent.,태어날 때부터 능력이 있는 사람을 말해요.
Her hair looks ___.,그녀의 머리카락은 [[자연스러운]] 보였어요.,natural,It means not fake; it is genuine.,"가짜가 아닌, 진짜인 것을 말해요."
Protect ___ for our future.,우리의 미래를 위해 [[천연 자원]]을 보호해요.,natural resources,They come from nature and help make things we use.,자연에서 나와 우리 생활에 도움이 되는 것들이에요.
My friend likes different ___.,내 친구는 다른 [[종류]]를 좋아해요.,nature,It shows what kind something is.,무엇의 종류를 나타내요.
I admire ___ in parks.,나는 공원에서 [[자연]]을 좋아해요.,nature,It is the outdoors with plants and animals.,나무와 동물이 있는 밖의 환경이에요.
His ___ is kind.,그의 [[본성]]은 착해요.,nature,It is the part of you that you are born with.,태어날 때부터 가지고 태어나는 변하지 않는 부분이에요.
The captain will ___ the ship.,선장은 배를 [[길을 찾아가다]] 할 거예요.,navigate,You use a map to find your way on water.,배에서 길을 찾기 위해 지도를 사용해요.
She ___ the boat.,그녀는 배를 [[항해]]했어요.,navigate,You plan a route for traveling by boat or plane.,보트나 비행기를 탈 때 길을 정해요.
I ___ online every day.,나는 매일 인터넷에서 [[돌아다]]요.,navigate,You use this to move through websites.,웹사이트 사이를 이동할 때 써요.
The shop is ___ my house.,가게는 우리 집과 [[가까운]] 거예요.,near,It means not far away.,멀지 않은 뜻이에요.
The station is ____.,역은 [[근처]]에 있어요.,near,It means something is close.,어떤 대상이 충분히 가까워 보일 때 쓰는 말이에요.
My house is ___.,내 집은 [[가까운]] 곳이에요.,nearby,It is used to show something is close.,무엇이 멀지 않고 가까이 있음을 뜻해요.
It is ___ six in the morning.,지금은 [[거의]] 6시예요.,nearly,It shows something is almost complete.,무언가가 거의 다 되었음을 나타내요.
Food is a ___ for survival.,음식은 생존을 위해 [[필수]]예요.,necessity,It means something you must have.,반드시 필요한 것을 의미해요.
The shirt fits her ___ perfectly.,셔츠가 그녀의 [[목]]에 딱 맞아요.,neck,It is the part of your body that holds your head.,머리를 지탱하는 신체 부위예요.
You ___ to study hard.,너는 열심히 공부를 [[해야 한다]].,need,This word is used to show that something is required.,어떤 것을 꼭 해야 할 때 사용해요.
I have a ___ for food.,나는 음식에 [[욕구]]가 있어요.,need,You feel this when something is important.,무엇인가 중요할 때 느끼는 감정이에요.
There is a ___ for water.,물에 대한 [[수요]]가 많아요.,need,"It describes when many people want something, like water in summer.",여름에 물을 많이 원하는 상황을 나타내요.
The comment was ___.,그 댓글은 [[부정적]]이었어요.,negative,It means something bad.,무엇인가 나쁘다는 뜻이에요.
I like our ___ here.,나는 우리 [[동네]]가 좋아해요.,neighborhood,It is the area around your home with many houses.,집 주변에 여러 집들이 있는 곳이에요.
I ___ eat broccoli everyday.,나는 브로콜리를 [[결코]] 먹지 않아요.,never,Use this word to say something is not done at any time.,이 단어는 어떤 일이 전혀 일어나지 않을 때 써요.
"It was cold, ___ she smiled.","날씨가 추웠지만, [[그럼에도 불구하고]] 그녀는 미소 지었어요.",nevertheless,This word connects two ideas though they are different.,두 가지 다른 생각을 연결할 때 사용해요.
She has a __ dress.,그녀는 [[새로운]] 드레스를 입었어요.,new,It means the opposite of old.,오래된 것의 반대예요.
He is a _______.,그는 [[뉴질랜드 사람]]이에요.,New Zealander,It refers to a person from New Zealand.,뉴질랜드에서 온 사람을 말해요.
I bought a ___ today.,나는 오늘 [[신문]]을 샀어요.,newspaper,You read this to know the news.,이것을 읽으면 소식을 알 수 있어요.
The ___ bus is here.,버스는 [[다음]]에 있어요.,next,It comes immediately after something.,무엇이 바로 그 뒤에 오는지를 나타내요.
The dog sleeps ___ the sofa.,강아지가 소파의 [[바로 옆에]] 있어요.,next to,It means very near to something.,어떤 것의 바로 옆이라는 뜻이에요.
The lamp is ___ the book.,램프는 책의 [[~의 옆에]] 있어요.,next to,It means being beside someone or something.,누군가 또는 무언가의 옆에 있는 것을 말해요.
The weather is ____.,오늘 날씨가 [[기분이 좋은]].,nice,How do you feel when someone is friendly and kind?,누군가 다정하고 친절할 때 어떤 기분이 드나요?
She is a ___ person.,그 사람은 [[친절한]] 사람이에요.,nice,It describes someone kind and friendly.,다른 사람들에게 친절하고 상냥한 사람을 말해요.
She is very ___.,그녀는 아주 [[멋진]] 이에요.,nice,You use this word to describe friendly people.,친절하고 다정한 사람을 나타낼 때 쓰는 말이에요.
His ______ is easy to remember.,그의 [[별명]] 기억하기 쉬워요.,nickname,It is the extra name people sometimes use.,사람들이 가끔 부르는 특별한 이름이에요.
The ____ is quiet.,하늘이 어두운 [[밤]]이에요.,night,It is the dark time when stars and moon show.,별과 달이 보이는 어둡고 조용한 시간이에요.
I love the ___.,나는 [[야경]]을 좋아해요.,night view,Rearrange these letters!: W I T H N G I E V,다음 글자들을 재배열 해보세요!: W I T H N G I E V
He answered ___ in the meeting.,그는 회의 중에 [[아니오]]라고 대답했어요.,no,You say this when you don't want something.,원하지 않을 때 쓰는 말이에요.
She ___ works at that office.,그녀는 [[더 이상]] 그 사무실에서 일해요.,no longer,"It means you did it in the past, but not now.",예전에는 했지만 지금은 안 해요.
The ____ lived in a castle.,그 [[귀족]]은 성에 살았어요.,noble,It describes a person from a high family.,높은 집안 출신 사람을 말해요.
The knight showed ______ courage.,기사는 [[고귀한]] 용기를 보였어요.,noble,How do you act if you have great honor?,큰 존경을 받을 때 어떻게 행동할까요?
The ___ lived in a castle.,그 [[귀족]]은 성에 살았어요.,nobleman,"He belongs to an old, wealthy family.",이 사람은 오래된 부자 집안 출신이에요.
___ came to the party.,파티에 [[아무도]] 오지 않았어요.,nobody,How would you feel if no one came?,아무도 오지 않으면 어땠을지 생각해보세요.
He will ___ his head.,그는 머리를 [[끄덕]]했어요.,nod,You move your head a little to agree.,동의할 때 머리를 살짝 움직여요.
The park is ___ today.,공원은 [[시끄러운]] 날이에요.,noisy,It means there is too much sound.,소리가 너무 많다는 뜻이에요.
This story is just ________.,이 이야기는 단지 [[허튼소리]]예요.,nonsense,It describes talk that seems silly and has no sense.,이것은 말이 통하지 않고 어리석은 이야기를 뜻해요.
She cooks ___ in a pot.,그녀는 냄비에 [[국수]]를 요리해요.,noodle,"It is a food made from flour, long and soft.","밀가루로 만든, 길고 부드러운 음식이에요."
The weather is ___ today.,오늘 날씨는 [[정상]]이에요.,normal,It describes something usual and expected.,특별하지 않고 보통인 것을 뜻해요.
It is a ___ day.,오늘은 [[보통의]] 날이에요.,normal,"It means something ordinary, not special.",특별하지 않고 평범한 것을 말해요.
He drives ______ to work.,그는 차를 [[정상적으로]] 타고 출근해요.,normally,It means doing things in the usual way.,항상 똑같은 방법으로 하는 것을 뜻해요.
He ___ wakes up at seven.,그는 [[보통은]] 일곱시에 일어나요.,normally,"When events happen most of the time, which word fits?",대부분의 경우에 일어나는 일을 말할 때 쓰는 단어는 무엇일까요?
They drove ___ after lunch.,방향은 [[북쪽]]입니다.,north,It is the direction at the top of most maps.,대부분의 지도에서 위쪽에 해당하는 방향이에요.
We visited the ___ part of town.,우리는 도시의 [[북쪽의]] 부분을 방문했어요.,northern,It describes the top region on a map.,지도에서 윗부분을 나타내요.
I smell with my ___.,나는 냄새 맡을 때 내 [[코]]를 사용해요.,nose,You use this to smell things.,냄새 맡을 때 사용하는 부분이에요.
The plane's ___ is at the front.,비행기의 [[앞부분]]는 앞에 있어요.,nose,It is the part at the very front of a plane.,비행기의 가장 앞쪽 부분이에요.
I ___ like apples.,나는 사과를 [[않]] 좋아해요.,not,It makes a sentence negative.,이 단어는 문장을 부정으로 만들어 줘요.
I __ eat candy.,나는 [[더 이상]] 사탕을 먹어요.,not ~ anymore,It means you did something before but you do not do that now.,예전에는 하던 일을 지금은 하지 않는 뜻이에요.
She ___ every new word in class.,그녀는 수업에서 모든 새로운 단어에 [[주목]]해요.,note,This action means paying attention to details.,중요한 세부사항에 집중할 때 하는 행동이에요.
She ___ed his name in class.,그녀는 수업 중에 [[언급]]했어요.,note,It means to mention something briefly.,짧게 어떤 것을 말하는 뜻이에요.
The pianist played a ___ in concert.,피아니스트는 콘서트에서 [[음표]]를 연주했어요.,note,It's something you see on a music sheet.,악보에 보이는 것은 이것이에요.
He played a high ____. ,그는 높은 [[음향 효과]]를 연주했어요.,note,It is a sound you hear in music.,음악에서 들리는 소리예요.
I took a ___ in class.,나는 수업 중에 [[메모]]를 썼어요.,note,This is something you write to remember.,기억하기 위해 쓰는 것이에요.
I use a ___ in class.,나는 수업에서 [[공책]]을 사용해요.,note,It's something you write in at school.,학교에서 글을 쓰는 '이것'이에요.
I have ____ in my bag.,내 가방에 [[아무것도]] 없어요.,nothing,It means no thing exists.,어떤 것도 존재하지 않는다는 뜻이에요.
I read a ___.,나는 [[소설]]를 읽어요.,novel,It is a long story in a book.,책에 쓰인 긴 이야기에요.
Her idea is ___.,그 아이디어는 [[기발]]해요.,novel,It describes something very new and creative.,아주 새롭고 창의적인 것을 말해요.
The ___ writes novels.,그 사람은 [[소설가]]예요.,novelist,This person writes creative stories.,이 사람은 창의적인 이야기를 써요.
My birthday is in ______.,제 생일은 [[11월]]이에요.,November,It comes after October and before December.,"10월 뒤에 오고, 12월 앞에 와요."
He is coming ___.,그는 [[지금]] 오고 있어요.,now,It is used to talk about the present time.,현재를 말할 때 사용하는 단어예요.
I need help ___.,저는 도움을 [[이제]] 원해요.,now,It starts with 'n'!,n로 시작하는 단어예요!
She will ___ the pages in order.,그녀는 페이지들을 차례로 [[번호]]했어요.,number,Rearrange these letters!: B U M N R E,다음 글자들을 재배열 해보세요!: B U M N R E
I see a ___ on the page.,나는 페이지에 [[수]]를 봐요.,number,It tells you how many things there are.,사물의 개수를 말할 때 써요.
Her phone ___ is missing.,그녀의 전화 [[번호]]가 없어요.,number,It is used to count things or show order.,물건의 양이나 순서를 나타내요.
The ___ cares for patients.,그는 환자를 돌보는 [[간호사]]예요.,nurse,They help people feel better.,사람들이 나아지도록 도와줘요.
Grandma stays in a ______.,할머니는 [[양로원]]에 있어요.,nursing home,A place where older people live and get help.,어르신들이 살면서 도움을 받는 곳이에요.
Food has ______ for life.,음식에는 [[영양소]] 있어요.,nutrient,This substance in food helps you grow.,"음식 속에 있는, 건강하게 해주는 것."
This drink is ____.,이 음료는 [[영양이 되는]] 거예요.,nutrient,It means the food gives your body strength.,음식이 몸에 힘을 줘요.
School starts at ___ sharp.,학교는 ___ [[시]]에 시작해요.,o'clock,It shows the time on a clock.,시계를 볼 때 시간을 알려줘요.
They visited the ___ on weekend.,그들은 주말에 [[천문대]]를 방문했어요.,observatory,It is a building to study stars and weather.,별과 날씨를 연구하는 건물이예요.
Look at the ___ in the aquarium.,수족관에서 [[문어]]를 봐요.,octopus,It is a sea animal with eight arms.,팔이 여덟 개인 바다동물이예요.
A piece ___ cake is tasty.,한 조각 [[의]] 케이크는 맛있어요.,of,It shows belonging or origin.,소유나 출신을 나타내요.
The museum welcomes visitors ___.,박물관은 [[모든 연령]] 방문객들을 환영해요.,of all ages,It means young and old can both enjoy it.,어린이와 어른 모두 즐길 수 있어요.
The prices are ___ at the market.,시장에서 가격이 [[할인]]되어 있어요.,off,It shows a reduced price.,가격이 내려간 것을 말해요.
Shoes are ___ by 50% today.,신발은 50% [[할인된]] 가격이에요.,off,This word is used after a percentage to show a discount.,숫자 뒤에 붙어 할인을 나타내는 단어예요.
The baby fell ___ the car seat.,아기는 자동차 좌석에서 [[떨어져]] 있어요.,off,It means something is not attached.,어떤 것이 붙지 않고 분리된 상태를 말해요.
I ___ an idea today.,나는 오늘 [[제안]]했어요.,offer,When you suggest an idea to someone.,누군가에게 아이디어를 제시할 때 하는 행동이에요.
I visit the _____ after work.,나는 퇴근 후 [[사무소]]에 가요.,office,It is a place where people work.,사람들이 일하는 곳이에요.
He works at the ___.,그는 [[공직]]에서 일해요.,office,It is a building where people work.,사람들이 일하는 건물이예요.
The ___ made a fair call.,경기장에서 [[심판]]이 공정하게 판정했어요.,official,He is the person in a game who makes the calls.,경기에서 판정을 내리는 사람이에요.
An ___ gave us directions.,한 [[공무원]]이 길을 안내했어요.,official,This person works for the government.,이 사람은 정부를 위해 일해요.
The ___ arrived for the meeting.,그 [[관계자]]는 회의에 참석했어요.,official,This person works in a government job.,정부에서 일하는 사람이에요.
This is an ______ document.,이것은 [[공식적인]] 문서예요.,official,It is used for things that are formal and approved.,공식적이고 승인된 것을 나타낼 때 써요.
The event was ___ announced today.,행사는 오늘 [[공식적으로]] 발표되었어요.,officially,It means something is done in a formal way.,공식적인 방법으로 행해지는 것을 말해요.
I ___ go to school.,나는 [[흔히]] 학교에 가요.,often,You do this many times each day.,하루에 여러 번 하는 행동을 나타내요.
I ___ eat lunch at noon.,나는 정오에 점심을 [[자주]] 먹어요.,often,It means many times.,여러 번이라는 뜻이에요.
I need ____ for my car.,나는 내 차에 [[기름]]이 필요해요.,oil,This liquid makes engines run.,이 액체는 엔진을 작동하게 해요.
